"filename", "language", "Python", "comment", "blank", "total"
"c:\Users\manga\OneDrive\Documents\uv_simetri_3.9\simetri\src\simetri\colors\colors.py", "Python", 15, 0, 15, 30
"c:\Users\manga\OneDrive\Documents\uv_simetri_3.9\simetri\src\simetri\extensions\l_system.py", "Python", 26, 0, 6, 32
"c:\Users\manga\OneDrive\Documents\uv_simetri_3.9\simetri\src\simetri\extensions\rekurjon2.py", "Python", 177, 1, 32, 210
"c:\Users\manga\OneDrive\Documents\uv_simetri_3.9\simetri\src\simetri\extensions\svg.py", "Python", 126, 0, 21, 147
"c:\Users\manga\OneDrive\Documents\uv_simetri_3.9\simetri\src\simetri\extensions\turtle_sg.py", "Python", 79, 0, 30, 109
"c:\Users\manga\OneDrive\Documents\uv_simetri_3.9\simetri\src\simetri\frieze\frieze.py", "Python", 84, -3, 22, 103
"c:\Users\manga\OneDrive\Documents\uv_simetri_3.9\simetri\src\simetri\geometry\bezier.py", "Python", 162, -34, 50, 178
"c:\Users\manga\OneDrive\Documents\uv_simetri_3.9\simetri\src\simetri\geometry\circle.py", "Python", 59, -15, 8, 52
"c:\Users\manga\OneDrive\Documents\uv_simetri_3.9\simetri\src\simetri\geometry\ellipse.py", "Python", 79, -318, -64, -303
"c:\Users\manga\OneDrive\Documents\uv_simetri_3.9\simetri\src\simetri\geometry\geometry.py", "Python", 851, 1, 278, 1130
"c:\Users\manga\OneDrive\Documents\uv_simetri_3.9\simetri\src\simetri\geometry\hobby.py", "Python", 97, 0, 24, 121
"c:\Users\manga\OneDrive\Documents\uv_simetri_3.9\simetri\src\simetri\tikz\tikz.py", "Python", 269, 0, 93, 362
"c:\Users\manga\OneDrive\Documents\uv_simetri_3.9\simetri\src\simetri\wallpaper\wallpaper.py", "Python", 114, 19, 22, 155
"Total", "-", 2138, -349, 537, 2326
