phon_epitran,phon_ipa
ʃ,ʃ̺
t ɕ,t̻ʃ̻
t̪̻ ɕ,t̻ʃ̻
d ʒ,d̻ʒ̻
d̪̻ ʒ,d̻ʒ̻
d̪̻ ʒ̺,d̻ʒ̻
d ʒ̺,d̻ʒ̻
d ʑ,d̻ʒ̻
t s,t̪̻s̪̻
 s, s̪̻
 ʒ, ʒ̺
t ,t̪̻ 
d ,d̪̻ 
a,ä
eː,e̞ː
ɑː,äː
v,ʋ
z,z̪̻
o,o̞
h,x
ʉ,u
ɪ,i
e,e̞
n̩,n
l̩,l
 ́,
ä̈,ä
