phon_epitran,phon_ipa
e,e̞
b,β
̀,
̧,
o ,o̞ 
î,i
k̈,k
ê̞,e̞
ɛ,e̞
ö,o̞
ü,u
ä,a
ï,i
ë̞,e̞
ɘ,e̞
