phon_epitran,phon_ipa
 ̚,̚
 ̈,̈
 ˆ,ˆ
 ̂,̂
ʈ͡ʂʰ,t̠ʃ̺ʰ
ʈ͡ʂ,t̠ʃ̺
ʂ,ʃ̺
t͡ɕʰ,tɕʰ
t͡ɕ,tɕ
t͡s,ts
t͡sʰ,tsʰ
p͡f,pf
d͡ʒ,d̠ʒ
t͡ʃ,t̠ʃ
d͡ʑ,d̠ʒ
tɕ,t̠ʃ
t͡ɬ,tl
ɐ̯,ɐ
ɪ̯̈,ɪ̯
ŋ̈,ŋ
ʊ̯̈,ʊ̯
v̈,v
ɡ̈,ɡ
g,ɡ
ç,ç
  , 
