phon_epitran,phon_ipa
ɒ,ɑ
t ,t̪ 
tː ,t̪ː 
 s, s̻
ts,t̻s̻
d ,d̪ 
dː,d̪ː
 z, z̻
d͡z,d̻z̻
n,n̪
l,l̪
r,r̪
ɟ,ɟʝ
c,cç
ô,øː
û,øː
õ,øː
q,r̪ k
