chebiid	smiles
CHEBI:15377	[H]O[H]
CHEBI:28938	[H][N+]([H])([H])[H]
CHEBI:15379	O=O
CHEBI:16240	[H]OO[H]
CHEBI:15378	[H+]
CHEBI:43474	O=P([O-])([O-])O
CHEBI:16007	CS
CHEBI:30089	CC(=O)[O-]
CHEBI:16526	O=C=O
CHEBI:33019	O=P([O-])([O-])OP(=O)([O-])O
CHEBI:36655	[H]C(=O)C(=O)[O-]
CHEBI:17544	O=C([O-])O
CHEBI:58228	NC(=O)OP(=O)([O-])[O-]
CHEBI:33722	[SH]12[Fe]3[SH]4[Fe]1[SH]1[Fe+]2[SH]3[Fe+]41
CHEBI:33723	[SH]12[Fe]3[SH]4[Fe]1[SH]1[Fe]2[SH]3[Fe+]41
CHEBI:16189	O=S(=O)([O-])[O-]
CHEBI:58040	C[NH2+]C
CHEBI:16842	[H]C([H])=O
CHEBI:59338	C[NH3+]
CHEBI:29919	[H][S-]
CHEBI:18420	[Mg+2]
CHEBI:29036	[Cu+2]
CHEBI:507393	[NH3+]CCS(=O)(=O)[O-]
CHEBI:58246	[H]C(=O)CS(=O)(=O)[O-]
CHEBI:57305	[NH3+]CC(=O)[O-]
CHEBI:18407	C#N
CHEBI:22191	CC(=O)OP(=O)([O-])[O-]
CHEBI:17071	[H]C(=O)CO
CHEBI:17790	CO
CHEBI:15343	[H]C(C)=O
CHEBI:33542	[H]SS(=O)(=O)[O-]
CHEBI:15226	O=S(=O)([O-])SSS(=O)(=O)[O-]
CHEBI:17045	N#[N+][O-]
CHEBI:16480	[N]=O
CHEBI:29805	O=C([O-])CO
CHEBI:16199	NC(N)=O
CHEBI:29920	NP(=O)([O-])[O-]
CHEBI:57801	O=P1([O-])OP(=O)([O-])OP(=O)([O-])O1
CHEBI:18036	O=P([O-])([O-])OP(=O)([O-])OP(=O)([O-])[O-]
CHEBI:29195	N#C[O-]
CHEBI:29033	[Fe+2]
CHEBI:29034	[Fe+3]
CHEBI:15429	NO
CHEBI:17996	[Cl-]
CHEBI:29242	[O-][As](O)O
CHEBI:29317	[H][Se-]
CHEBI:17826	C[As](O)O
CHEBI:16223	C[As](C)(=O)[O-]
CHEBI:57431	NC(=O)NC[NH3+]
CHEBI:33737	S1[Fe+]S[Fe+]1
CHEBI:33738	S1[Fe]S[Fe+]1
CHEBI:17359	O=S([O-])[O-]
CHEBI:14272	[H]C(=O)CF
CHEBI:57840	CNC(N)=[NH2+]
CHEBI:15740	[H]C(=O)[O-]
CHEBI:15571	NN
CHEBI:78619	O=[Fe][O-]
CHEBI:18276	[H][H]
CHEBI:48775	[Cd+2]
CHEBI:566789	CC[NH3+]
CHEBI:16183	[H]C([H])([H])[H]
CHEBI:17632	O=[N+]([O-])[O-]
CHEBI:16301	O=N[O-]
CHEBI:57603	[NH3+]CCO
CHEBI:58190	[NH3+]CCOP(=O)([O-])[O-]
