S_PreisEinheit.Preiseinheit;S_PreisEinheitSpr.Bezeichnung;S_PreisEinheitSpr.KurzBez;S_PreisEinheit.Faktor
0;;;1
Column;Column Name;Description / Remark;Location in Proalpha;Data Type;Format
1;Preiseinheit;Price Unit;S_PreisEinheit.Preiseinheit;INTEGER;zz9;
2;Bezeichnung;Description Price Unit;S_PreisEinheitSpr.Bezeichnung;CHARACTER;x(30);
3;Kurzbezeichnung;Abbreviation Price Unit;S_PreisEinheitSpr.KurzBez;CHARACTER;x(3);
4;Mengenfaktor;Price Unit Factor;S_PreisEinheit.Faktor;DECIMAL;zzz,zz9.99999;
