0X1B	0x001B	#ESCAPE
0x81	0xF104	#ORANGE COLOR SWITCH (CUS)
0x82	0xF146	#FLASH ON (CUS)
0x84	0xF147	#FLASH OFF (CUS)
# HELP is an alias for F8
0x95	0xF106	#BROWN COLOR SWITCH (CUS)
0x96	0xF148	#YELLOW GREEN COLOR SWITCH (CUS)
0x97	0xF149	#PINK COLOR SWITCH (CUS)
0x98	0xF14A	#BLUE GREEN COLOR SWITCH (CUS)
0x99	0xF10B	#LIGHT BLUE COLOR SWITCH (CUS)
0x9A	0xF14B	#DARK BLUE COLOR SWITCH (CUS)
0x9B	0xF10A	#LIGHT GREEN COLOR SWITCH (CUS)
