# C0

0x0D	0x000D	#CARRIAGE RETURN
0x11	0xF11C	#CURSOR DOWN (CUS)
0x12	0xF11A	#REVERSE VIDEO ON (CUS)
0x13	0xF120	#HOME (CUS)
0x14	0x007F	#DELETE
0x1D	0xF11D	#CURSOR RIGHT (CUS)

# C1

0x8D	0x000A	#LINE FEED
0x91	0xF11E	#CURSOR UP (CUS)
0x92	0xF11B	#REVERSE VIDEO OFF (CUS)
0x93	0x000C	#FORM FEED
0x94	0xF121	#INSERT (CUS)
0x9D	0xF11F	#CURSOR LEFT (CUS)
