Depth;Temp
0;8
10;10.51
20;12.17
30;13.47
40
50
60
70;17.16
80;17.88
90;18.55
100;19.18
110;19.78
120;20.34
130;20.88
140
150
160;22.26
170;22.63
180;23
190;23.37
200;23.73
210
220
230
240;25.17
250;25.52
260;25.87
270;26.22
280;26.57
290;26.92
300;27.27
310
320
330
340
350
360;29.33
370;29.67
380
390;30.35
400;30.68
410;31.02
420;31.35
430
440;32.02
450;32.35
460;32.68
470;33.01
480;33.34
490;33.67
500;34
510;34.32
520;34.65
530;34.97
540
550
560
570
580;36.58
590;36.9
600;37.21
610;37.53
620;37.84
630;38.16
640;38.47
650;38.78
660;39.09
670;39.4
680;39.71
690;40.02
700;40.33
710;40.63
720;40.94
730;41.24
740;41.55
750
760
770
780
790
800
810;43.64
820;43.93
830;44.23
840;44.52
850;44.81
860;45.1
870;45.39
880;45.68
890;45.97
900;46.26
910;46.54
920;46.83
930;47.11
940;47.4
950;47.68
960;47.96
970;48.24
980;48.52
990;48.8
1000;49.08
1010
1020
1030
1040
1050
1060
1070
1080
1090;51.6
1100;51.88
1110;52.16
1120;52.44
1130;52.72
1140;53
1150;53.28
1160;53.56
1170;53.84
1180;54.12
1190;54.4
1200;54.68
1210;54.96
1220
1230;55.52
1240;55.8
1250;56.08
1260;56.36
1270;56.64
1280
1290;57.2
1300;57.48
1310;57.76
1320;58.04
1330;58.32
1340;58.6
1350;58.88
1360;59.16
1370;59.44
1380;59.72
1390;60
1400;60.28
1410;60.56
1420;60.84
1430;61.12
1440;61.4
1450;61.68
1460
1470
1480
1490
1500
1510
1520
1530
1540
1550
1560;64.76
1570;65.04
1580;65.32
1590;65.6
1600;65.88
1610;66.16
1620;66.44
1630;66.72
1640;67
1650;67.28
1660;67.56
1670;67.84
1680;68.12
1690;68.4
1700;68.68
1710;68.96
1720;69.24
1730;69.52
1740;69.8
1750;70.08
1760;70.36
1770;70.64
1780;70.92
1790;71.2
1800;71.48
1810;71.76
1820;72.04
1830;72.32
1840;72.6
1850;72.88
1860;73.16
1870;73.44
1880;73.72
1890;74
1900;74.28
1910;74.56
1920;74.84
1930;75.12
1940;75.4
1950;75.68
1960;75.96
1970;76.24
1980;76.52
1990;76.8
2000;77.08
2010;77.36
2020;77.64
2030;77.92
2040;78.2
2050;78.48
2060;78.76
2070
2080
2090
2100
2110
2120
2130
2140
2150
2160
2170
2180
2190
2200;82.68
2210;82.96
2220;83.24
2230;83.52
2240;83.8
2250;84.08
2260;84.36
2270;84.64
2280;84.92
2290;85.2
2300;85.48
2310;85.76
2320;86.04
2330;86.32
2340;86.6
2350;86.88
2360;87.16
2370;87.44
2380;87.72
2390;88
2400;88.28
2410;88.56
2420;88.84
2430;89.12
2440;89.4
2450;89.68
2460;89.96
2470;90.24
2480;90.52
2490;90.8
2500;91.08
2510;91.36
2520;91.64
2530;91.92
2540;92.2
2550;92.48
2560;92.76
2570;93.04
2580;93.32
2590;93.6
2600;93.88
2610;94.16
2620;94.44
2630;94.72
2640;95
2650;95.28
2660;95.56
2670;95.84
2680
2690
2700
2710
2720
2730;97.52
2740;97.8
2750;98.08
2760;98.36
2770;98.64
2780
2790
2800
2810
2820
2830
2840
2850
2860;101.16
2870;101.44
2880;101.72
2890;102
2900;102.28
2910;102.56
2920;102.84
2930;103.12
2940;103.4
2950;103.68
2960;103.96
