SBM_ValueFlowGroup.SBM_ValueFlowGroup_ID;DBM_ShortDescription.ShortDesc1;S_KostenStelle.KostenStelle;S_ArtKtoGr.KontenGruppe;c_SBM_VALUEFLOWGROUPesoac;c_SBM_VALUEFLOWGROUPesopac;c_SBM_VALUEFLOWGROUPesopc;c_SBM_VALUEFLOWGROUPesspc;c_SBM_VALUEFLOWGROUPtyp1art1;c_SBM_VALUEFLOWGROUPtyp1art2;c_SBM_VALUEFLOWGROUPtyp1art3;c_SBM_VALUEFLOWGROUPtyp1art4;c_SBM_VALUEFLOWGROUPtyp1art5;c_SBM_VALUEFLOWGROUPtyp1art6;c_SBM_VALUEFLOWGROUPtyp1art7;c_SBM_VALUEFLOWGROUPtyp1art8;c_SBM_VALUEFLOWGROUPtyp1art9;c_SBM_VALUEFLOWGROUPtyp1art10;c_SBM_VALUEFLOWGROUPtyp1art11;c_SBM_VALUEFLOWGROUPtyp1art12;c_SBM_VALUEFLOWGROUPtyp1art13;c_SBM_VALUEFLOWGROUPtyp1art14;c_SBM_VALUEFLOWGROUPtyp2art1;c_SBM_VALUEFLOWGROUPtyp2art2;c_SBM_VALUEFLOWGROUPtyp2art3;c_SBM_VALUEFLOWGROUPtyp2art4;c_SBM_VALUEFLOWGROUPtyp2art5;c_SBM_VALUEFLOWGROUPtyp2art6;c_SBM_VALUEFLOWGROUPtyp2art7;c_SBM_VALUEFLOWGROUPtyp2art8;c_SBM_VALUEFLOWGROUPtyp2art9;c_SBM_VALUEFLOWGROUPtyp2art10;c_SBM_VALUEFLOWGROUPtyp2art11;c_SBM_VALUEFLOWGROUPtyp2art12;c_SBM_VALUEFLOWGROUPtyp2art13;c_SBM_VALUEFLOWGROUPtyp2art14;c_SBM_VALUEFLOWGROUPtyp3art1;c_SBM_VALUEFLOWGROUPtyp3art2;c_SBM_VALUEFLOWGROUPtyp3art3;c_SBM_VALUEFLOWGROUPtyp3art4;c_SBM_VALUEFLOWGROUPtyp3art5;c_SBM_VALUEFLOWGROUPtyp3art6;c_SBM_VALUEFLOWGROUPtyp3art7;c_SBM_VALUEFLOWGROUPtyp3art8;c_SBM_VALUEFLOWGROUPtyp3art9;c_SBM_VALUEFLOWGROUPtyp3art10;c_SBM_VALUEFLOWGROUPtyp3art11;c_SBM_VALUEFLOWGROUPtyp3art12;c_SBM_VALUEFLOWGROUPtyp3art13;c_SBM_VALUEFLOWGROUPtyp3art14;c_SBM_VALUEFLOWGROUPtyp4art1;c_SBM_VALUEFLOWGROUPtyp4art2;c_SBM_VALUEFLOWGROUPtyp4art3;c_SBM_VALUEFLOWGROUPtyp4art4;c_SBM_VALUEFLOWGROUPtyp4art5;c_SBM_VALUEFLOWGROUPtyp4art6;c_SBM_VALUEFLOWGROUPtyp4art7;c_SBM_VALUEFLOWGROUPtyp4art8;c_SBM_VALUEFLOWGROUPtyp4art9;c_SBM_VALUEFLOWGROUPtyp4art10;c_SBM_VALUEFLOWGROUPtyp4art11;c_SBM_VALUEFLOWGROUPtyp4art12;c_SBM_VALUEFLOWGROUPtyp4art13;c_SBM_VALUEFLOWGROUPtyp4art14;c_SBM_VALUEFLOWGROUPtyp5art1;c_SBM_VALUEFLOWGROUPtyp5art2;c_SBM_VALUEFLOWGROUPtyp5art3;c_SBM_VALUEFLOWGROUPtyp5art4;c_SBM_VALUEFLOWGROUPtyp5art5;c_SBM_VALUEFLOWGROUPtyp5art6;c_SBM_VALUEFLOWGROUPtyp5art7;c_SBM_VALUEFLOWGROUPtyp5art8;c_SBM_VALUEFLOWGROUPtyp5art9;c_SBM_VALUEFLOWGROUPtyp5art10;c_SBM_VALUEFLOWGROUPtyp5art11;c_SBM_VALUEFLOWGROUPtyp5art12;c_SBM_VALUEFLOWGROUPtyp5art13;c_SBM_VALUEFLOWGROUPtyp5art14
;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Column;Column Name;Description / Remark;Location in Proalpha;Data Type;Format
1;Werteflussgruppe;Value Flow Group;SBM_ValueFlowGroup.SBM_ValueFlowGroup_ID;CHARACTER;x(6);
2;Bezeichnung;Description 1;DBM_ShortDescription.ShortDesc1;CHARACTER;x(80);
3;Kostenstelle;Cost Center;S_KostenStelle.KostenStelle;INTEGER;zzzzzzz9;
4;Kontengruppe;Account Group;S_ArtKtoGr.KontenGruppe;CHARACTER;x(6);
5;Kalkulationsschema Auftragsnachkalkulation;;;;;
6;Kalkulationsschema Auftragsvor-/Auftragsnachkalkulation;;;;;
7;Kalkulationsschema Auftragsvorkalkulation;;;;;
8;Kalkulationsschema Standardvorkalkulation;;;;;
9;Belastung / Vertrieb;;;;;
10;Belastung / Service Entnahme;;;;;
11;Belastung / Gewährleistung Entnahme;;;;;
12;Belastung / Kulanz Entnahme;;;;;
13;Belastung / Service Verbrauch;;;;;
14;Belastung / Gewährleistung Verbrauch;;;;;
15;Belastung / Kulanz Verbrauch;;;;;
16;Belastung / Einkauf/Mawi - KSt;;;;;
17;Belastung / Einkauf/Mawi - KTr/ETr;;;;;
18;Belastung / Mawi Korrektur - KSt;;;;;
19;Belastung / Mawi Korrektur - KTr/ETr;;;;;
20;Belastung / Produktion;;;;;
21;Belastung / Kuppelproduktion;;;;;
22;Belastung / Projektmanagement;;;;;
23;Preisabweichung / Vertrieb;;;;;
24;Preisabweichung / Service Entnahme;;;;;
25;Preisabweichung / Gewährleistung Entnahme;;;;;
26;Preisabweichung / Kulanz Entnahme;;;;;
27;Preisabweichung / Service Verbrauch;;;;;
28;Preisabweichung / Gewährleistung Verbrauch;;;;;
29;Preisabweichung / Kulanz Verbrauch;;;;;
30;Preisabweichung / Einkauf/Mawi - KSt;;;;;
31;Preisabweichung / Einkauf/Mawi - KTr/ETr;;;;;
32;Preisabweichung / Mawi Korrektur - KSt;;;;;
33;Preisabweichung / Mawi Korrektur - KTr/ETr;;;;;
34;Preisabweichung / Produktion;;;;;
35;Preisabweichung / Kuppelproduktion;;;;;
36;Preisabweichung / Projektmanagement;;;;;
37;Entlastung / Vertrieb;;;;;
38;Entlastung / Service Entnahme;;;;;
39;Entlastung / Gewährleistung Entnahme;;;;;
40;Entlastung / Kulanz Entnahme;;;;;
41;Entlastung / Service Verbrauch;;;;;
42;Entlastung / Gewährleistung Verbrauch;;;;;
43;Entlastung / Kulanz Verbrauch;;;;;
44;Entlastung / Einkauf/Mawi - KSt;;;;;
45;Entlastung / Einkauf/Mawi - KTr/ETr;;;;;
46;Entlastung / Mawi Korrektur - KSt;;;;;
47;Entlastung / Mawi Korrektur - KTr/ETr;;;;;
48;Entlastung / Produktion;;;;;
49;Entlastung / Kuppelproduktion;;;;;
50;Entlastung / Projektmanagement;;;;;
51;Ausschuss / Vertrieb;;;;;
52;Ausschuss / Service Entnahme;;;;;
53;Ausschuss / Gewährleistung Entnahme;;;;;
54;Ausschuss / Kulanz Entnahme;;;;;
55;Ausschuss / Service Verbrauch;;;;;
56;Ausschuss / Gewährleistung Verbrauch;;;;;
57;Ausschuss / Kulanz Verbrauch;;;;;
58;Ausschuss / Einkauf/Mawi - KSt;;;;;
59;Ausschuss / Einkauf/Mawi - KTr/ETr;;;;;
60;Ausschuss / Mawi Korrektur - KSt;;;;;
61;Ausschuss / Mawi Korrektur - KTr/ETr;;;;;
62;Ausschuss / Produktion;;;;;
63;Ausschuss / Kuppelproduktion;;;;;
64;Ausschuss / Projektmanagement;;;;;
65;Verbrauchsabweichung / Vertrieb;;;;;
66;Verbrauchsabweichung / Service Entnahme;;;;;
67;Verbrauchsabweichung / Gewährleistung Entnahme;;;;;
68;Verbrauchsabweichung / Kulanz Entnahme;;;;;
69;Verbrauchsabweichung / Service Verbrauch;;;;;
70;Verbrauchsabweichung / Gewährleistung Verbrauch;;;;;
71;Verbrauchsabweichung / Kulanz Verbrauch;;;;;
72;Verbrauchsabweichung / Einkauf/Mawi - KSt;;;;;
73;Verbrauchsabweichung / Einkauf/Mawi - KTr/ETr;;;;;
