0x07	0x0007	#BELL
0x09	0x0009	#HORIZONTAL TABULATION
0x0E	0x000E	#SHIFT OUT
0X0F	0xF13D	#SET WINDOW TOP (CUS)
0x15	0xF13E	#KILL LINE (CUS)
0x16	0xF13F	#ERASE TO RIGHT (CUS)
0x19	0xF140	#SCROLL UP (CUS)
0X1B	0x001B	#ESCAPE
0x87	0xF141	#DOUBLE BELL (CUS)
0x89	0x0088	#HORIZONTAL TABULATION SET
0x8E	0x000F	#SHIFT IN
0X8F	0xF142	#SET WINDOW END (CUS)
0x95	0xF143	#INSERT LINE ABOVE (CUS)
0x96	0xF144	#ERASE TO LEFT (CUS)
0x99	0xF145	#SCROLL DOWN (CUS)
