# Common box & line drawing characters

0xA0	0x00A0	#NO-BREAK SPACE
0xA1	0x258C	#LEFT HALF BLOCK
0xA2	0x2584	#LOWER HALF BLOCK
0xA3	0x2594	#UPPER ONE EIGHTH BLOCK
0xA4	0x2581	#LOWER ONE EIGHTH BLOCK
0xA5	0x258F	#LEFT ONE EIGHTH BLOCK
0xA6	0x1FB95	#CHECKER BOARD FILL
0xA7	0x2595	#RIGHT ONE EIGHTH BLOCK
0xA8	0x1FB8F	#LOWER HALF MEDIUM SHADE
0xAA	0x1FB87	#RIGHT ONE QUARTER BLOCK
0xAB	0x251C	#BOX DRAWINGS LIGHT VERTICAL AND RIGHT
0xAC	0x2597	#QUADRANT LOWER RIGHT
0xAD	0x2514	#BOX DRAWINGS LIGHT UP AND RIGHT
0xAE	0x2510	#BOX DRAWINGS LIGHT DOWN AND LEFT
0xAF	0x2582	#LOWER ONE QUARTER BLOCK
0xB0	0x250C	#BOX DRAWINGS LIGHT DOWN AND RIGHT
0xB1	0x2534	#BOX DRAWINGS LIGHT UP AND HORIZONTAL
0xB2	0x252C	#BOX DRAWINGS LIGHT DOWN AND HORIZONTAL
0xB3	0x2524	#BOX DRAWINGS LIGHT VERTICAL AND LEFT
0xB4	0x258E	#LEFT ONE QUARTER BLOCK
0xB5	0x258D	#LEFT THREE EIGTHS BLOCK
0xB6	0x1FB88	#RIGHT THREE EIGHTHS BLOCK
0xB7	0x1FB82	#UPPER ONE QUARTER BLOCK
0xB8	0x1FB83	#UPPER THREE EIGHTS BLOCK
0xB9	0x2583	#LOWER THREE EIGHTHS BLOCK
0xBB	0x2596	#QUADRANT LOWER LEFT
0xBC	0x259D	#QUADRANT UPPER RIGHT
0xBD	0x2518	#BOX DRAWINGS LIGHT UP AND LEFT
0xBE	0x2598	#QUADRANT UPPER LEFT
0xBF	0x259A	#QUADRANT UPPER LEFT AND LOWER RIGHT
