LC1,LU1,CLC2,CLC1,Representativeness,
A11,U111,11,1,1,
A11,U113,11,1,1,
A11,U120,12,1,1,
A11,U130,12,1,1,
A11,U140,12,1,1,
A11,U150,12,1,1,
A11,U210,12,1,1,
A11,U221,12,1,1,
A11,U222,12,1,1,
A11,U223,12,1,1,
A11,U224,12,1,1,
A11,U225,12,1,1,
A11,U226,12,1,1,
A11,U227,12,1,1,
A11,U228,12,1,1,
A11,U311,11,1,1,
A11,U312,11,1,1,
A11,U313,11,1,1,
A11,U314,11,1,1,
A11,U316,12,1,1,
A11,U317,12,1,1,
A11,U318,12,1,1,
A11,U319,12,1,1,
A11,U321,12,1,1,
A11,U322,12,1,1,
A11,U330,13,1,1,
A11,U340,12,1,1,
A11,U341,12,1,1,
A11,U342,12,1,1,
A11,U350,12,1,1,
A11,U361,14,1,1,
A11,U362,14,1,1,
A11,U363,14,1,1,
A11,U364,11,1,1,
A11,U370,11,1,1,
A11,U400,99,99,1,
A11,U410,99,99,1,
A11,U411,12,1,1,
A11,U412,12,1,1,
A11,U413,11,1,1,
A11,U414,11,1,1,
A11,U415,99,99,1,
A12,U111,11,1,1,
A12,U140,12,1,1,
A12,U150,12,1,1,
A12,U210,12,1,1,
A12,U221,12,1,1,
A12,U222,12,1,1,
A12,U223,12,1,1,
A12,U224,12,1,1,
A12,U225,12,1,1,
A12,U226,12,1,1,
A12,U227,12,1,1,
A12,U228,12,1,1,
A12,U311,11,1,1,
A12,U312,11,1,1,
A12,U314,11,1,1,
A12,U316,12,1,1,
A12,U317,12,1,1,
A12,U318,12,1,1,
A12,U319,12,1,1,
A12,U321,12,1,1,
A12,U322,12,1,1,
A12,U330,13,1,1,
A12,U340,12,1,1,
A12,U341,12,1,1,
A12,U342,12,1,1,
A12,U350,12,1,1,
A12,U361,14,1,1,
A12,U362,14,1,1,
A12,U370,11,1,1,
A12,U400,99,99,1,
A12,U410,99,99,1,
A12,U411,12,1,1,
A12,U412,12,1,1,
A12,U415,99,99,1,
A13,0,990,90, 1,
A13,U111,21,2,1,
A13,U112,99,99,1,
A13,U113,21,2,1,
A13,U330,99,99,1,
A13,U340,99,99,1,
A13,U341,99,99,1,
A13,U350,99,99,1,
A13,U362,99,99,1,
A13,U370,99,99,1,
A13,U400,99,99,1,
A13,U410,99,99,1,
