VS_AuftragPos.BelegNummer;VS_AuftragPos.PositionsNr;VS_AuftragPos.ArtikelWartung;VS_AuftragPos.ArtVarWartung;VS_AuftragPos.RueckMeldeNr;VS_AuftragPos.Auftragsstatus;VS_AuftragPos.Auftragskennung;VS_AuftragPos.Artikel;VS_AuftragPos.Mat_Artikel;VS_AuftragPos.Kost_Artikel;VS_AuftragPos.Menge;VS_AuftragPos.MengenEinheit;VS_AuftragPos.Seriennummer;VS_AuftragPos.SNRArt;VS_Serviceplan.Prozess;S_KoTraeger.Kostentraeger;c_XXXmat_traeger;c_XXXkost_traeger;VS_AuftragPos.Wunschtermin;VS_AuftragPos.Herk_BelegArt;VS_AuftragPos.Herk_Schluessel;VS_AuftragPos.Einzelpreis;VS_AuftragPos.Berechnung;VS_AuftragPos.Wert_RZ_1;VS_AuftragPos.Wert_RZ_Art_1;VS_AuftragPos.Wert_RZ_2;VS_AuftragPos.Wert_RZ_Art_2;VS_AuftragPos.proz_RZ_1;VS_AuftragPos.proz_RZ_Art_1;VS_AuftragPos.proz_RZ_2;VS_AuftragPos.proz_RZ_Art_2;VS_AuftragPos.proz_RZ_3;VS_AuftragPos.proz_RZ_Art_3;VS_AuftragPos.Mat_Einzelpreis;VS_AuftragPos.Mat_Berechnung;VS_AuftragPos.Mat_Wert_RZ_1;VS_AuftragPos.Mat_Wert_RZ_Art_1;VS_AuftragPos.Mat_Wert_RZ_2;VS_AuftragPos.Mat_Wert_RZ_Art_2;VS_AuftragPos.Mat_proz_RZ_1;VS_AuftragPos.Mat_proz_RZ_Art_1;VS_AuftragPos.Mat_proz_RZ_2;VS_AuftragPos.Mat_proz_RZ_Art_2;VS_AuftragPos.Mat_proz_RZ_3;VS_AuftragPos.Mat_proz_RZ_Art_3;VS_AuftragPos.Kost_Einzelpreis;VS_AuftragPos.Kost_Berechnung;VS_AuftragPos.Kost_Wert_RZ_1;VS_AuftragPos.Kost_Wert_RZ_Art_1;VS_AuftragPos.Kost_Wert_RZ_2;VS_AuftragPos.Kost_Wert_RZ_Art_2;VS_AuftragPos.Kost_proz_RZ_1;VS_AuftragPos.Kost_proz_RZ_Art_1;VS_AuftragPos.Kost_proz_RZ_2;VS_AuftragPos.Kost_proz_RZ_Art_2;VS_AuftragPos.Kost_proz_RZ_3;VS_AuftragPos.Kost_proz_RZ_Art_3;VS_AuftragPos.USTax_TaxFree;VS_AuftragPos.USTax_Override;VS_AuftragPos.USTax_TaxableAmount1;VS_AuftragPos.USTax_TaxableAmount2;VS_AuftragPos.USTax_TaxableAmount3;VS_AuftragPos.USTax_TaxableAmount4;VS_AuftragPos.USTax_TaxableAmount5;VS_AuftragPos.USTax_TaxableAmount6;VS_AuftragPos.USTax_TaxAmount1;VS_AuftragPos.USTax_TaxAmount2;VS_AuftragPos.USTax_TaxAmount3;VS_AuftragPos.USTax_TaxAmount4;VS_AuftragPos.USTax_TaxAmount5;VS_AuftragPos.USTax_TaxAmount6;VS_AuftragPos.USTax_TaxBase;VS_AuftragPos.USTax_TaxRate1;VS_AuftragPos.USTax_TaxRate2;VS_AuftragPos.USTax_TaxRate3;VS_AuftragPos.USTax_TaxRate4;VS_AuftragPos.USTax_TaxRate5;VS_AuftragPos.USTax_TaxRate6;VS_AuftragPos.USTax_Mat_TaxFree;VS_AuftragPos.USTax_Mat_Override;VS_AuftragPos.USTax_Mat_TaxableAmount1;VS_AuftragPos.USTax_Mat_TaxableAmount2;VS_AuftragPos.USTax_Mat_TaxableAmount3;VS_AuftragPos.USTax_Mat_TaxableAmount4;VS_AuftragPos.USTax_Mat_TaxableAmount5;VS_AuftragPos.USTax_Mat_TaxableAmount6;VS_AuftragPos.USTax_Mat_TaxAmount1;VS_AuftragPos.USTax_Mat_TaxAmount2;VS_AuftragPos.USTax_Mat_TaxAmount3;VS_AuftragPos.USTax_Mat_TaxAmount4;VS_AuftragPos.USTax_Mat_TaxAmount5;VS_AuftragPos.USTax_Mat_TaxAmount6;VS_AuftragPos.USTax_Mat_TaxBase;VS_AuftragPos.USTax_Mat_TaxRate1;VS_AuftragPos.USTax_Mat_TaxRate2;VS_AuftragPos.USTax_Mat_TaxRate3;VS_AuftragPos.USTax_Mat_TaxRate4;VS_AuftragPos.USTax_Mat_TaxRate5;VS_AuftragPos.USTax_Mat_TaxRate6;VS_AuftragPos.USTax_Cost_TaxFree;VS_AuftragPos.USTax_Cost_Override;VS_AuftragPos.USTax_Cost_TaxableAmount1;VS_AuftragPos.USTax_Cost_TaxableAmount2;VS_AuftragPos.USTax_Cost_TaxableAmount3;VS_AuftragPos.USTax_Cost_TaxableAmount4;VS_AuftragPos.USTax_Cost_TaxableAmount5;VS_AuftragPos.USTax_Cost_TaxableAmount6;VS_AuftragPos.USTax_Cost_TaxAmount1;VS_AuftragPos.USTax_Cost_TaxAmount2;VS_AuftragPos.USTax_Cost_TaxAmount3;VS_AuftragPos.USTax_Cost_TaxAmount4;VS_AuftragPos.USTax_Cost_TaxAmount5;VS_AuftragPos.USTax_Cost_TaxAmount6;VS_AuftragPos.USTax_Cost_TaxBase;VS_AuftragPos.USTax_Cost_TaxRate1;VS_AuftragPos.USTax_Cost_TaxRate2;VS_AuftragPos.USTax_Cost_TaxRate3;VS_AuftragPos.USTax_Cost_TaxRate4;VS_AuftragPos.USTax_Cost_TaxRate5;VS_AuftragPos.USTax_Cost_TaxRate6
0;1;;;0;B;0;;;;0;0;;;;;;;today;?;;0;0;0;;0;;0;;0;;0;;0;0;0;;0;;0;;0;;0;;0;0;0;;0;;0;;0;;0;;?;?;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;?;?;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;?;?;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Column;Column Name;Description / Remark;Location in Proalpha;Data Type;Format
1;Belegnummer;Document Number;VS_AuftragPos.BelegNummer;INTEGER;zzzzzzz9;
2;Position;Line;VS_AuftragPos.PositionsNr;INTEGER;zz9;
3;Teil;Part Maintenance;VS_AuftragPos.ArtikelWartung;CHARACTER;x(20);
4;Variante;Variant Maintenance;VS_AuftragPos.ArtVarWartung;CHARACTER;x(6);
5;Rückmeldenummer;Data Entry Number;VS_AuftragPos.RueckMeldeNr;INTEGER;zzzzzzz9;
6;Auftragsstatus;Order Status;VS_AuftragPos.Auftragsstatus;CHARACTER;x(2);
7;Auftragskennung;Order ID;VS_AuftragPos.Auftragskennung;INTEGER;z9;
8;Serviceteil;Service Part;VS_AuftragPos.Artikel;CHARACTER;x(20);
9;Service Part Mat;Mat Part;VS_AuftragPos.Mat_Artikel;CHARACTER;x(20);
10;Service Part (Costs);Costs Part;VS_AuftragPos.Kost_Artikel;CHARACTER;x(20);
11;Menge;Quantity;VS_AuftragPos.Menge;DECIMAL;-zzz,zzz,zz9.999;
12;Mengeneinheit;Unit of Measure;VS_AuftragPos.MengenEinheit;INTEGER;zz9;
13;Seriennummer;Serial Number;VS_AuftragPos.Seriennummer;CHARACTER;x(20);
14;SNRArt;Serial Number Category;VS_AuftragPos.SNRArt;CHARACTER;x(6);
15;Prozess;Routing;VS_Serviceplan.Prozess;CHARACTER;x(20);
16;Kostenträger;Cost Object;S_KoTraeger.Kostentraeger;CHARACTER;x(20);
17;Object Material;;;;;
18;Object Costs;;;;;
19;Wunschtermin;Requested Date;VS_AuftragPos.Wunschtermin;DATE;99.99.9999;
20;Herkunftsbelegart;Source Document Type;VS_AuftragPos.Herk_BelegArt;CHARACTER;x(3);
21;Schlüssel;Origin Key;VS_AuftragPos.Herk_Schluessel;CHARACTER;x(30);
22;Einzelpreis;Unit Price;VS_AuftragPos.Einzelpreis;DECIMAL;z,zzz,zz9.99-;
23;Fakturakennzeichen;Billing;VS_AuftragPos.Berechnung;INTEGER;z9;
24;wertm R/Z;Value Discount/Surcharge 1;VS_AuftragPos.Wert_RZ_1;DECIMAL;z,zzz,zz9.99-;
25;wm Rab-/ZuArt;Type of Value Discount/Surcharge 1;VS_AuftragPos.Wert_RZ_Art_1;CHARACTER;x(3);
26;wertm R/Z 2;Value Discount/Surcharge 2;VS_AuftragPos.Wert_RZ_2;DECIMAL;z,zzz,zz9.99-;
27;wm Rab-/ZuArt 2;Type of Value Discount/Surcharge 2;VS_AuftragPos.Wert_RZ_Art_2;CHARACTER;x(3);
28;% R/Z;Percentage Discount/Surcharge 1;VS_AuftragPos.proz_RZ_1;DECIMAL;-z9.99%;
29;% Rab-/ZuArt;Type of Percentage Discount/Surcharge 1;VS_AuftragPos.proz_RZ_Art_1;CHARACTER;x(3);
30;% R/Z 2;Percentage Discount/Surcharge 2;VS_AuftragPos.proz_RZ_2;DECIMAL;-z9.99%;
31;% Rab-/ZuArt 2;Type of Percentage Discount/Surcharge 2;VS_AuftragPos.proz_RZ_Art_2;CHARACTER;x(3);
32;% R/Z 3;Percentage Discount/Surcharge 3;VS_AuftragPos.proz_RZ_3;DECIMAL;-z9.99%;
33;% Rab-/ZuArt 3;Type of Percentage Discount/Surcharge 3;VS_AuftragPos.proz_RZ_Art_3;CHARACTER;x(3);
34;Einzelpreis Mat;Material Unit Price;VS_AuftragPos.Mat_Einzelpreis;DECIMAL;z,zzz,zz9.99-;
35;Berechnung Mat;Material Calculation;VS_AuftragPos.Mat_Berechnung;INTEGER;z9;
36;wertm R/Z Mat;Value Discount/Surcharge 1 Material;VS_AuftragPos.Mat_Wert_RZ_1;DECIMAL;z,zzz,zz9.99-;
37;wm Rab-/ZuArt;Type Value Discount/Surcharge 1 Material;VS_AuftragPos.Mat_Wert_RZ_Art_1;CHARACTER;x(3);
38;wertm R/Z Mat 2;Value Discount/Surcharge 2 Material;VS_AuftragPos.Mat_Wert_RZ_2;DECIMAL;z,zzz,zz9.99-;
39;wm Rab-/ZuArt 2;Type Value Discount/Surcharge 2 Material;VS_AuftragPos.Mat_Wert_RZ_Art_2;CHARACTER;x(3);
40;% R/Z;% Discount/Surcharge 1 Material;VS_AuftragPos.Mat_proz_RZ_1;DECIMAL;-z9.99%;
41;% Rab-/ZuArt;Type % Disc/Surcharge 1 Material;VS_AuftragPos.Mat_proz_RZ_Art_1;CHARACTER;x(3);
42;% R/Z 2;% Discount/Surcharge 2 Material;VS_AuftragPos.Mat_proz_RZ_2;DECIMAL;-z9.99%;
43;% Rab-/ZuArt 2;Type % Disc/Surcharge 2 Material;VS_AuftragPos.Mat_proz_RZ_Art_2;CHARACTER;x(3);
44;% R/Z 3;% Discount/Surcharge 3 Material;VS_AuftragPos.Mat_proz_RZ_3;DECIMAL;-z9.99%;
45;% Rab-/ZuArt 3;Type % Disc/Surcharge 3 Material;VS_AuftragPos.Mat_proz_RZ_Art_3;CHARACTER;x(3);
46;Einzelpreis Kosten;Cost Unit Price;VS_AuftragPos.Kost_Einzelpreis;DECIMAL;z,zzz,zz9.99-;
47;Berechnung Ko;Cost Calculation;VS_AuftragPos.Kost_Berechnung;INTEGER;z9;
48;wertm R/Z Ko;Value Discount/Surcharge 1 Costs;VS_AuftragPos.Kost_Wert_RZ_1;DECIMAL;z,zzz,zz9.99-;
49;wm Rab-/ZuArt;Type Value Discount/Surcharge 1 Costs;VS_AuftragPos.Kost_Wert_RZ_Art_1;CHARACTER;x(3);
50;wertm R/Z Ko 2;Value Discount/Surcharge 2 Costs;VS_AuftragPos.Kost_Wert_RZ_2;DECIMAL;z,zzz,zz9.99-;
51;wm Rab-/ZuArt 2;Type Value Discount/Surcharge 2 Costs;VS_AuftragPos.Kost_Wert_RZ_Art_2;CHARACTER;x(3);
52;% R/Z;% Discount/Surcharge 1 Costs;VS_AuftragPos.Kost_proz_RZ_1;DECIMAL;-z9.99%;
