S_Adresse.AdressNr;S_Adresse.Name1;S_Adresse.Staat;S_Adresse.Ort;S_Adresse.Suchbegriff;S_Adresse.Selektion;S_Adresse.BriefAnrede;S_Adresse.Anrede;S_Adresse.Titel;S_Adresse.Vorname;S_Adresse.Name2;S_Adresse.Name3;S_Adresse.PLZ;S_Adresse.CityPrefix;S_Adresse.CityPostfix;S_Adresse.StreetPrefix;S_Adresse.Strasse;S_Adresse.StreetPostfix;S_Adresse.Hausnummer;S_Adresse.Bundesland;S_Adresse.PLZ_Postfach;S_Adresse.Postfach;S_Adresse.Telefonbuch;S_Adresse.EMail;S_Adresse.HomePage;S_Adresse.Handy;S_Adresse.Telefon;S_Adresse.AutoTelefon;S_Adresse.Telefax;S_Adresse.Telefon2;S_Adresse.Telefax2;S_Adresse.Longitude;S_Adresse.Latitude
0;;;;;;;;;;;;;;;;;;;;;;yes;;;;;;;;;0;0
Column;Column Name;Description / Remark;Location in Proalpha;Data Type;Format
1;Adressnummer;Address Number;S_Adresse.AdressNr;INTEGER;zzzzzzz9;
2;Name;Name 1;S_Adresse.Name1;CHARACTER;x(80);
3;Staat;Country;S_Adresse.Staat;CHARACTER;x(3);
4;Ort;City;S_Adresse.Ort;CHARACTER;x(30);
5;Suchbegriff;Search Term;S_Adresse.Suchbegriff;CHARACTER;x(12);
6;Selektion;Selection;S_Adresse.Selektion;CHARACTER;x(20);
7;Briefanrede;Letter Salutation;S_Adresse.BriefAnrede;CHARACTER;x(50);
8;Anrede;Salutation;S_Adresse.Anrede;CHARACTER;x(30);
9;Titel;Title;S_Adresse.Titel;CHARACTER;x(50);
10;Vorname;First Name;S_Adresse.Vorname;CHARACTER;x(80);
11;Name 2;Name 2;S_Adresse.Name2;CHARACTER;x(80);
12;Name 3;Name 3;S_Adresse.Name3;CHARACTER;x(80);
13;Postleitzahl;ZIP Code;S_Adresse.PLZ;CHARACTER;x(10);
14;Prefix Ort;Prefix City;S_Adresse.CityPrefix;CHARACTER;x(40);
15;Postfix Ort;Postfix City;S_Adresse.CityPostfix;CHARACTER;x(40);
16;Prefix Straﬂe;Prefix Street;S_Adresse.StreetPrefix;CHARACTER;x(40);
17;Straﬂe;Street;S_Adresse.Strasse;CHARACTER;x(50);
18;Postfix Straﬂe;Postfix Street;S_Adresse.StreetPostfix;CHARACTER;x(40);
19;Hausnummer;Street Number;S_Adresse.Hausnummer;CHARACTER;x(12);
20;Bundesland;State;S_Adresse.Bundesland;CHARACTER;x(3);
21;PLZ Postfach;ZIP PO Box;S_Adresse.PLZ_Postfach;CHARACTER;x(10);
22;Postfach;PO Box;S_Adresse.Postfach;CHARACTER;x(30);
23;Telefonbuch;Manage Address in Central Telephone Book;S_Adresse.Telefonbuch;LOGICAL;ja/nein;
24;E-Mail;E-Mail;S_Adresse.EMail;CHARACTER;x(254);
25;Homepage;Homepage;S_Adresse.HomePage;CHARACTER;x(60);
26;Handy;Cell Phone;S_Adresse.Handy;CHARACTER;x(25);
27;Telefon;Telephone;S_Adresse.Telefon;CHARACTER;x(25);
28;Autotelefon;Car Phone;S_Adresse.AutoTelefon;CHARACTER;x(25);
29;Telefax;Fax;S_Adresse.Telefax;CHARACTER;x(25);
30;Telefon 2;Telephone 2;S_Adresse.Telefon2;CHARACTER;x(25);
31;Telefax 2;Fax 2;S_Adresse.Telefax2;CHARACTER;x(25);
32;L‰ngengrad;Longitude;S_Adresse.Longitude;DECIMAL;-zz9.9999999999;
33;Breitengrad;Latitude;S_Adresse.Latitude;DECIMAL;-zz9.9999999999;
