PMM_Drawing.PMM_Drawing_ID;PMM_Drawing.IndexNo;PMM_Drawing.CadConfiguration;DBM_ShortDescription.ShortDesc1;DBM_ShortDescription.ShortDesc2;DBM_ShortDescription.ShortDesc3;DBM_ShortDescription.ShortDesc4
;;;;;;
Column;Column Name;Description / Remark;Location in Proalpha;Data Type;Format
1;Zeichnung;Drawing;PMM_Drawing.PMM_Drawing_ID;CHARACTER;x(30);
2;Indexnummer;Index Number;PMM_Drawing.IndexNo;CHARACTER;x99;
3;Konfiguration;Configuration;PMM_Drawing.CadConfiguration;CHARACTER;x(50);
4;Bezeichnung;Description 1;DBM_ShortDescription.ShortDesc1;CHARACTER;x(80);
5;Bezeichnung 2;Description 2;DBM_ShortDescription.ShortDesc2;CHARACTER;x(80);
6;Bezeichnung 3;Description 3;DBM_ShortDescription.ShortDesc3;CHARACTER;x(80);
7;Bezeichnung 4;Description 4;DBM_ShortDescription.ShortDesc4;CHARACTER;x(80);
