S_ZahlZiel.ZahlungsZiel;SBM_CreditTermRef.ReferenceDay;SBM_CreditTermRef.DueDay;SBM_CreditTermRef.DueMonth;SBM_CreditTermRef.DueDayCashDisc;SBM_CreditTermRef.DueMonthCashDisc
0;0;0;0;0;0
Column;Column Name;Description / Remark;Location in Proalpha;Data Type;Format
1;Zahlungsziel;Credit Terms;S_ZahlZiel.ZahlungsZiel;INTEGER;zz9;
2;Bezugstag;Reference Day;SBM_CreditTermRef.ReferenceDay;INTEGER;z9;
3;Fälligkeitstag;Due Day;SBM_CreditTermRef.DueDay;INTEGER;z9;
4;Valutamonate;Value Months;SBM_CreditTermRef.DueMonth;INTEGER;z9;
5;Fälligkeitstag Sko;Due Day Cash Discount;SBM_CreditTermRef.DueDayCashDisc;INTEGER;z9;
6;Valutamonate Sko;Value Months Cash Discount;SBM_CreditTermRef.DueMonthCashDisc;INTEGER;z9;
