S_StaffelGruppe.StaffelGruppe;S_StaffelGruppeSpr.Bezeichnung;S_StaffelGruppe.flexibel;S_Staffel.Staffelmenge
;;no;0
Column;Column Name;Description / Remark;Location in Proalpha;Data Type;Format
1;Staffelgruppe;Price Schedule Group;S_StaffelGruppe.StaffelGruppe;CHARACTER;x(6);
2;Bezeichnung;Description Price Schedule Group;S_StaffelGruppeSpr.Bezeichnung;CHARACTER;x(70);
3;flexibel;Flexible;S_StaffelGruppe.flexibel;LOGICAL;ja/nein;
4;ab Menge;From Quantity;S_Staffel.Staffelmenge;DECIMAL;zz,zzz,zz9;
