S_UStID.Kontenbereich;S_UStID.Konto;S_UStID.UStID;S_UStID.bestaetigt;S_UStID.IsDefault
0;0;;no;no
Column;Column Name;Description / Remark;Location in Proalpha;Data Type;Format
1;Kontenbereich;Range of Accounts;S_UStID.Kontenbereich;INTEGER;9;
2;Kunde/Lieferant;Customer/Supplier;S_UStID.Konto;INTEGER;zzzzzzzz;
3;Umsatzsteuer-ID;Sales Tax Identification Number;S_UStID.UStID;CHARACTER;x(19);
4;bestätigt;Confirmed;S_UStID.bestaetigt;LOGICAL;ja/nein;
5;Default;Is Default STID;S_UStID.IsDefault;LOGICAL;ja/nein;
