Code,Name,Fixable,Preview,Linter,Violations
PLR5501,collapsible-else-if,Sometimes,False,Pylint,1
RUF012,mutable-class-default,No,False,Ruff-specific rules,1
ANN002,missing-type-args,No,False,flake8-annotations,1
ANN205,missing-return-type-static-method,Sometimes,False,flake8-annotations,1
G004,logging-f-string,No,False,flake8-logging-format,1
PYI041,redundant-numeric-union,No,False,flake8-pyi,1
PT004,pytest-missing-fixture-name-underscore,No,False,flake8-pytest-style,1
ARG003,unused-class-method-argument,No,False,flake8-unused-arguments,1
PD901,pandas-df-variable-name,No,False,pandas-vet,1
E402,module-import-not-at-top-of-file,No,False,pycodestyle,1
E501,line-too-long,No,False,pycodestyle,1
E721,type-comparison,No,False,pycodestyle,1
D100,undocumented-public-module,No,False,pydocstyle,1
PGH004,blanket-noqa,No,False,pygrep-hooks,1
TRY004,type-check-without-type-error,No,False,tryceratops,1
TRY300,try-consider-else,No,False,tryceratops,1
PERF401,manual-list-comprehension,No,False,Perflint,2
PLR0915,too-many-statements,No,False,Pylint,2
ANN401,any-type,No,False,flake8-annotations,2
BLE001,blind-except,No,False,flake8-blind-except,2
B007,unused-loop-control-variable,Sometimes,False,flake8-bugbear,2
PYI055,unnecessary-type-union,Sometimes,False,flake8-pyi,2
N816,mixed-case-variable-in-global-scope,No,False,pep8-naming,2
PLW2901,redefined-loop-name,No,False,Pylint,3
ERA001,commented-out-code,No,False,eradicate,3
DTZ005,call-datetime-now-without-tzinfo,No,False,flake8-datetimez,3
PLR0912,too-many-branches,No,False,Pylint,4
B008,function-call-in-default-argument,No,False,flake8-bugbear,4
B018,useless-expression,No,False,flake8-bugbear,4
S506,unsafe-yaml-load,No,False,flake8-bandit,5
B904,raise-without-from-inside-except,No,False,flake8-bugbear,5
TCH002,typing-only-third-party-import,Sometimes,False,flake8-type-checking,5
FBT003,boolean-positional-value-in-call,No,False,flake8-boolean-trap,6
TCH003,typing-only-standard-library-import,Sometimes,False,flake8-type-checking,7
ANN204,missing-return-type-special-method,Sometimes,False,flake8-annotations,9
FIX002,line-contains-todo,No,False,flake8-fixme,9
TD002,missing-todo-author,No,False,flake8-todos,9
TD003,missing-todo-link,No,False,flake8-todos,9
ARG001,unused-function-argument,No,False,flake8-unused-arguments,9
F401,unused-import,Sometimes,False,Pyflakes,10
B028,no-explicit-stacklevel,No,False,flake8-bugbear,12
PT011,pytest-raises-too-broad,No,False,flake8-pytest-style,13
ANN206,missing-return-type-class-method,Sometimes,False,flake8-annotations,14
INP001,implicit-namespace-package,No,False,flake8-no-pep420,16
NPY002,numpy-legacy-random,No,False,NumPy-specific rules,19
FBT001,boolean-type-hint-positional-argument,No,False,flake8-boolean-trap,20
EM102,f-string-in-exception,Sometimes,False,flake8-errmsg,21
SLF001,private-member-access,No,False,flake8-self,28
FBT002,boolean-default-value-positional-argument,No,False,flake8-boolean-trap,29
ANN102,missing-type-cls,No,False,flake8-annotations,30
PLR2004,magic-value-comparison,No,False,Pylint,32
RET505,superfluous-else-return,Sometimes,False,flake8-return,32
ARG002,unused-method-argument,No,False,flake8-unused-arguments,33
PLR0913,too-many-arguments,No,False,Pylint,41
EM101,raw-string-in-exception,Sometimes,False,flake8-errmsg,41
ANN003,missing-type-kwargs,No,False,flake8-annotations,47
ANN202,missing-return-type-private-function,Sometimes,False,flake8-annotations,59
TRY003,raise-vanilla-args,No,False,tryceratops,62
ANN201,missing-return-type-undocumented-public-function,Sometimes,False,flake8-annotations,261
ANN101,missing-type-self,No,False,flake8-annotations,280
S101,assert,No,False,flake8-bandit,296
ANN001,missing-type-function-argument,No,False,flake8-annotations,403
