SBM_ErrorKind.ErrorType;DBM_ShortDescription.ShortDesc1.Type;SBM_ErrorCause.ErrorCause;DBM_ShortDescription.ShortDesc1.Cause
;;;
Column;Column Name;Description / Remark;Location in Proalpha;Data Type;Format
1;Fehlerart;Error Type;SBM_ErrorKind.ErrorType;CHARACTER;x(6);
2;DBM_ShortDescription.ShortDesc1.Type;Description 1;DBM_ShortDescription.ShortDesc1;CHARACTER;x(80);
3;Fehlerursache;Error Cause;SBM_ErrorCause.ErrorCause;CHARACTER;x(6);
4;DBM_ShortDescription.ShortDesc1.Cause;Description 1;DBM_ShortDescription.ShortDesc1;CHARACTER;x(80);
