USM_PartManufacturer.Manufacturer;USM_PartManufacturer.Part;USM_PartManufacturer.OrderNumber;USM_PartManufacturer.ManDescription;USM_PartManufacturer.PackagingQuantityUnit;USM_PartManufacturer.DeliveryTime;USM_PartManufacturer.DeliveryTimeUnit;USM_PartManufacturer.PackagingQuantity;USM_PartManufacturer.StandardPONumber
0;;;;0;0;4;0;no
Column;Column Name;Description / Remark;Location in Proalpha;Data Type;Format
1;Hersteller;Manufacturer (Supplier Number);USM_PartManufacturer.Manufacturer;INTEGER;zzzzzzz9;
2;Teil;Part;USM_PartManufacturer.Part;CHARACTER;x(20);
3;Hersteller-TeileNr;PO Number;USM_PartManufacturer.OrderNumber;CHARACTER;x(60);
4;HerstellerTeileBez;Manufacturer Description;USM_PartManufacturer.ManDescription;CHARACTER;x(30);
5;Gebindeeinheit;Handling Unit of Measure;USM_PartManufacturer.PackagingQuantityUnit;INTEGER;zz9;
6;Lieferzeit;Delivery Time in Days;USM_PartManufacturer.DeliveryTime;INTEGER;zz9;
7;ZE Lieferzeit;Time Unit Delivery Time;USM_PartManufacturer.DeliveryTimeUnit;CHARACTER;9;
8;Gebindemenge;Handling Unit Quantity;USM_PartManufacturer.PackagingQuantity;DECIMAL;-zzz,zzz,zz9.999;
9;Standard;Standard Supplier Part Number;USM_PartManufacturer.StandardPONumber;LOGICAL;ja/nein;
