MS_ServiceObjekt.Serviceobjekt;MS_ServiceObjekt.Suchbegriff;MS_ServiceObjekt.Selektion;MS_ServiceObjektSpr.Bezeichnung1;MS_ServiceObjektSpr.Bezeichnung2;MS_ServiceObjektSpr.Bezeichnung3;MS_ServiceObjektSpr.Bezeichnung4;MS_ServiceObjekt.RessArt;MS_ServiceObjekt.Ressource;S_KoTraeger.Kostentraeger;MS_ServiceObjekt.Bemerkung;MS_ServiceObjekt.SortBezeichnung;MS_ServiceObjekt.Kunde;S_Adresse.AdressNr;S_Adresse.Name1;S_Adresse.Staat;S_Adresse.Ort;S_Adresse.Suchbegriff;S_Adresse.Selektion;S_Adresse.BriefAnrede;S_Adresse.Anrede;S_Adresse.Titel;S_Adresse.Vorname;S_Adresse.Name2;S_Adresse.Name3;S_Adresse.PLZ;S_Adresse.CityPrefix;S_Adresse.CityPostfix;S_Adresse.StreetPrefix;S_Adresse.Strasse;S_Adresse.StreetPostfix;S_Adresse.Hausnummer;S_Adresse.Bundesland;S_Adresse.PLZ_Postfach;S_Adresse.Postfach;S_Adresse.Telefonbuch;S_Adresse.EMail;S_Adresse.HomePage;S_Adresse.Handy;S_Adresse.Telefon;S_Adresse.AutoTelefon;S_Adresse.Telefax;S_Adresse.Telefon2;S_Adresse.Telefax2;S_Adresse.Longitude;S_Adresse.Latitude
0;;;;;;;0;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;yes;;;;;;;;;0;0
Column;Column Name;Description / Remark;Location in Proalpha;Data Type;Format
1;Serviceobjekt;Service Object;MS_ServiceObjekt.Serviceobjekt;INTEGER;zzzzzzz9;
2;Suchbegriff;Search Term;MS_ServiceObjekt.Suchbegriff;CHARACTER;x(12);
3;Selektion;Selection;MS_ServiceObjekt.Selektion;CHARACTER;x(20);
4;Bezeichnung1;Description Service Object1;MS_ServiceObjektSpr.Bezeichnung;CHARACTER;x(30);
5;Bezeichnung2;Description Service Object2;MS_ServiceObjektSpr.Bezeichnung;CHARACTER;x(30);
6;Bezeichnung3;Description Service Object3;MS_ServiceObjektSpr.Bezeichnung;CHARACTER;x(30);
7;Bezeichnung4;Description Service Object4;MS_ServiceObjektSpr.Bezeichnung;CHARACTER;x(30);
8;Ressourcenart;Resource Category;MS_ServiceObjekt.RessArt;INTEGER;99;
9;Ressource;Resource;MS_ServiceObjekt.Ressource;CHARACTER;x(20);
10;Kostentr‰ger;Cost Object;S_KoTraeger.Kostentraeger;CHARACTER;x(20);
11;Bemerkung;Remark;MS_ServiceObjekt.Bemerkung;CHARACTER;x(255);
12;Sortierbezeichnung;Sort Description;MS_ServiceObjekt.SortBezeichnung;CHARACTER;x(30);
13;Kunde;Customer;MS_ServiceObjekt.Kunde;INTEGER;zzzzzzzz;
14;Adressnummer;Address Number;S_Adresse.AdressNr;INTEGER;zzzzzzz9;
15;Name;Name 1;S_Adresse.Name1;CHARACTER;x(80);
16;Staat;Country;S_Adresse.Staat;CHARACTER;x(3);
17;Ort;City;S_Adresse.Ort;CHARACTER;x(30);
18;Suchbegriff;Search Term;S_Adresse.Suchbegriff;CHARACTER;x(12);
19;Selektion;Selection;S_Adresse.Selektion;CHARACTER;x(20);
20;Briefanrede;Letter Salutation;S_Adresse.BriefAnrede;CHARACTER;x(50);
21;Anrede;Salutation;S_Adresse.Anrede;CHARACTER;x(30);
22;Titel;Title;S_Adresse.Titel;CHARACTER;x(50);
23;Vorname;First Name;S_Adresse.Vorname;CHARACTER;x(80);
24;Name 2;Name 2;S_Adresse.Name2;CHARACTER;x(80);
25;Name 3;Name 3;S_Adresse.Name3;CHARACTER;x(80);
26;Postleitzahl;ZIP Code;S_Adresse.PLZ;CHARACTER;x(10);
27;Prefix Ort;Prefix City;S_Adresse.CityPrefix;CHARACTER;x(40);
28;Postfix Ort;Postfix City;S_Adresse.CityPostfix;CHARACTER;x(40);
29;Prefix Straﬂe;Prefix Street;S_Adresse.StreetPrefix;CHARACTER;x(40);
30;Straﬂe;Street;S_Adresse.Strasse;CHARACTER;x(50);
31;Postfix Straﬂe;Postfix Street;S_Adresse.StreetPostfix;CHARACTER;x(40);
32;Hausnummer;Street Number;S_Adresse.Hausnummer;CHARACTER;x(12);
33;Bundesland;State;S_Adresse.Bundesland;CHARACTER;x(3);
34;PLZ Postfach;ZIP PO Box;S_Adresse.PLZ_Postfach;CHARACTER;x(10);
35;Postfach;PO Box;S_Adresse.Postfach;CHARACTER;x(30);
36;Telefonbuch;Manage Address in Central Telephone Book;S_Adresse.Telefonbuch;LOGICAL;ja/nein;
37;E-Mail;E-Mail;S_Adresse.EMail;CHARACTER;x(254);
38;Homepage;Homepage;S_Adresse.HomePage;CHARACTER;x(60);
39;Handy;Cell Phone;S_Adresse.Handy;CHARACTER;x(25);
40;Telefon;Telephone;S_Adresse.Telefon;CHARACTER;x(25);
41;Autotelefon;Car Phone;S_Adresse.AutoTelefon;CHARACTER;x(25);
42;Telefax;Fax;S_Adresse.Telefax;CHARACTER;x(25);
43;Telefon 2;Telephone 2;S_Adresse.Telefon2;CHARACTER;x(25);
44;Telefax 2;Fax 2;S_Adresse.Telefax2;CHARACTER;x(25);
45;L‰ngengrad;Longitude;S_Adresse.Longitude;DECIMAL;-zz9.9999999999;
46;Breitengrad;Latitude;S_Adresse.Latitude;DECIMAL;-zz9.9999999999;
