IS_Export.ExportID;IS_Export.ExportName;IS_Export.MasterID;IS_Export.ExportConfigID;IS_Export.ExportFile;IS_Export.History;IS_Export.TimeShiftBackwards;IS_Export.TimeShiftForwards;IS_Export.ParameterValue;IS_Export.geschuetztesFormat;IS_Export.einfuegen;IS_Export.nextExecution;IS_Export.nextExecutionoffset
;;;;;0;0;0;;no;no;today;0
Column;Column Name;Description / Remark;Location in Proalpha;Data Type;Format
1;Export;Unique Key of Export;IS_Export.ExportID;CHARACTER;x(32);
2;Bezeichnung;Export Name;IS_Export.ExportName;CHARACTER;x(70);
3;Master;Unique Key of Master;IS_Export.MasterID;CHARACTER;x(12);
4;Konfiguration;Export Configuration;IS_Export.ExportConfigID;CHARACTER;x(12);
5;Exportdatei;Target File for Export;IS_Export.ExportFile;CHARACTER;x(80);
6;Historie;History (Period);IS_Export.History;INTEGER;zzz9;
7;Versatz rückwärts;Time Offset Backward;IS_Export.TimeShiftBackwards;INTEGER;-z9;
8;Versatz vorwärts;Time Offset Forward;IS_Export.TimeShiftForwards;INTEGER;-z9;
9;Parameterwert;Value of Parameter;IS_Export.ParameterValue;CHARACTER;x(20);
10;geschützt;Protected Format;IS_Export.geschuetztesFormat;LOGICAL;ja/nein;
11;Einfügen;Insert;IS_Export.einfuegen;LOGICAL;ja/nein;
12;nächste Ausführung;Next Execution;IS_Export.nextExecution;DATE;99.99.9999;
13;Offset;Offset for Next Execution;IS_Export.nextExecutionoffset;INTEGER;-zz9;
