phon_phonemizer,phon_ipa
p`,pʼ
k`,kʼ
t`,tʼ
t̠ʃ`,t̠ʃʼ
q`,qʼ
v,β
b,β
g,ɣ
n g,ɲ
z,s
i,ɪ
u,ʊ
e,ɛ
o,ɔ
