phon_phonemizer,phon_ipa
ɛ,e
ɔ,o
t ,t̪ 
n,n̪
 s, s̪
 z, z̪
l,l̪
d ,d̪ 
ts,t̪s̪
 ʒ, z̻
 ʃ, s̻
t̠ʃ,t̻s̻
tʃ,t̻s̻
d̠ʒ,d̻z̻
ɲʲ,ɲ
vʲ,v
bʲ,b
pʲ,p
mʲ,m
fʲ,f
tʲ,t
dʲ,d̪
rʲ,r
s̻ʲ,s̻
xʲ,x
z̻ʲ,z̻
tɕʲ,tɕ
ç,x
õ,o
oː,o
ɹ,r
