phon_phonemizer,phon_ipa
ææ,æ
t ,tʰ 
k,kʰ
p,pʰ
iə,ɪə
ɛ ,e 
a ,æ 
ɔ ,ɔː
ɑ̃,ɑː
r,ɹ
aː,ɑː
