phon_phonemizer,phon_ipa
t̪ ,t̪ˠʰ 
s ,sˠ 
d̪ ,d̪ˠ 
d ,d̪ˠ 
dʲ ,d̪ʲ 
m ,mˠ 
c ,cʰ 
çʲ,ç
k ,kʰ 
kʲ ,kʰ 
ɡʲ ,ɡ 
lʲ l ,l̪ˠ 
lʲʲ,l̪ʲ
lʲ,l̪ʲ
l ,l̪ˠ 
b ,bˠ 
n ,n̪ˠ 
nʲ ,n̪ʲ 
f ,fˠ 
ʁ,ɾ̪ˠ
ɹ ,ɾ̪ˠ 
r ,ɾ̪ʲ 
t̠ʃ,t̪ʲʰ 
t ,t̪ʲʰ 
v ,vˠ 
p ,pˠʰ 
pʲ ,pʲʰ 
hʲ,h
ŋʲ,ŋ
 ɔ , ɔ̝ 
 A , a 
 ɐ , ə 
 i̯ , i̞ 
 ɛ , ɛ̝ 
eɪ,ɐɪ
uə,uːe
iə,iːə
 u , ʊ 
 ŭ , ʊ 
 aɪ , iː 
 aʊ , a 
ə χ,ə
χ ə,ɡ
n j,n̪ʲ
 ʲ , 
