phon_phonemizer,phon_ipa
ʌ,ɔ
ʔɔ,ɔˤ
ʔeː,eˤ
ʔe,eˤ
?ɑ,ɑˤː
ʔi,iˤ
ʔu,uˤ
ʔœː,œ
ʔœ,œ
ʔo,oˤ
ʔy,y
?a,aˤ
aˤ ʔ,aˤ
dɔ,ɔ
de,e
di,i
ε,ɛ
ɐ̯,r
ɒɒ,ɒː
ɑɑ,ɑˤː
aa,aˤ
aɪ,a i
 ʃ, ɕ
