phon_phonemizer,phon_ipa
ɐ,a
q,ɡ
n,n̪
s,s̪
tɕ,t̠ʃ
t ,t̪ 
ɫ,l
kh,kʰ
ph,pʰ
t̠ʃ hʲ,t̠ʃʰ
ɯ i,ɯi
ʌ,ɤ̞
ɛ,æ
