phon_phonemizer,phon_ipa
 ɨ , ɪ 
 ɨː , iː 
ɑɨ,ai
aɨ,ai
aɪ,ai
ɨu,ɪu
ɔɨ,ɔi
x,χ
əɨ,əi
uɨ,ʊi
aʊ,au
eʊ,ɛu
əɪ,əi
ɔɪ,ɔi
ç,χ
ɪuː,ɪu
ɨ,ɪ
