phon_phonemizer,phon_ipa
r,ɾ
k ,kʰ 
t ,t̪ʰ 
p ,pʰ 
v,ʋ
n,n̪
d ,d̪ 
x,ç
ɾ ɹ,ɾ
aɪ,ai
oː,o̞ː
aʊ,æʉ
ɑɪ,ɔy
ɔɪ,ɔy
øː,ø̞ː
ɛː,æ
ɛ,e̞
aː,æː
ɔ ,ɒ̝ 
 y , ʏ 
ʊː,ʉː
ʉɪ,uː
