phon_phonemizer,phon_ipa
ɔa,o̯ä
ea,e̯ä
a a ,ä 
 a , ä 
e e ,e̞ 
 e , e̞ 
o o,o̞
 o , o̞ 
ɔ,o̞
yɪ,aɪ
ɾ ,ɾ̪ 
r ,ɾ̪ 
rʲ ,ɾʲ 
n ,n̪ 
t ,t̪ 
 s , s̪ 
ts ,t̪s̪ 
d ,d̪ 
dʒ,d̠ʒ
z ,z̪ 
ŋ ,n̪ 
ʲʲ,ʲ
