phon_phonemizer,phon_ipa
a ,ä 
n,n̪
s,s̺
ð,ð̺̞
θ,θ̻
ɾ,r̥
t,t̪
h r#,r̥
r r#,r̥
r r̥,r̥
r̥ r,r̥
n̪#,n̪̥
ɲ#,ɲ̥
ŋ#,ŋ̥
t̪l#,t̪ ɬ
l#,l
m#,m̥
y,ʏ
eɪː,ei̯
eɪ,ei̯
ʏɪ,ʏi̯
aʊː,äu̯
aʊ,äu̯
aɪː,äi̯
aɪ,äi̯
øʏː,øɪ̯
øʏ,øɪ̯
oʊː,ou̯
oʊ,ou̯
ɔɪ,ɔi̯
h d,t̪ t̪ʰ
d n̪,n̪
n̪ d,n̪ t̪ʰ
d,t̪ʰ
b,pʰ
ɟ,cʰ
ɣ,ɰ
