phon_phonemizer,phon_ipa
n sx,n s k
sx,ɧ
n,n̪
r,ɹ
d,d̪
t,t̪
s,s̪
ʉ,ʉ̟
j,ʝ
y ,ʏ 
kː,k
t̪ː,t̪
ə,e
ɵː,uː
