phon_phonemizer,phon_ipa
ɐ,a
s,s̺
n,n̺
t ,t̪ 
l,ɫ̺
ɾ,ɾ̺
r,r̺
ʎ,ʎ̟
z,z̺
d ,d̪ 
ɲ,ɲ̟
ʑ,ʒ
dʒ,d̠ʒ
ɕ,ʃ
tʃ,t̠ʃ
ʊ,u̯
ʋ,β
v,β
pː,p
ɟ,ɡ
