phon_phonemizer,phon_ipa
t̠ʃ,t̪
t ,t̪ 
d,d̪
ɹ,ʁ
r,ʁ
l,l̪ˠ
n,n̪
ɐ̃ʊ̃,ɐ̃u̜
ʊ,u
ɪ,i
ɑ,a
ɨ,ɯ
aː,a
ɾ ə,ɾ
mʲ,m
sʲ,s
ʁʲ,ʁ
o ŋ,õ
ei ŋ,ẽ
ei m,ẽ
i ŋ,ĩ
ɐ̃ ŋ,ɐ̃
u ŋ,ũ
ũ ŋ,ũ
ɛĩ,ɛi
eu,eu̜
au,au̜
iu,iu̜
ɛu,ɛu̜
eĩ,ẽ
ei,ɐi
ɐ̃ j,ɐ̃i
õ j,õi
j,i
k u w p,k u l̪ˠ p
w ĩ,ũi
o w,o
u w,u
w,o
fʲ,f
