PMM_RoutingMaster.PMM_Routing_ID;PMM_Routing.IndexNo;PMM_Operation.OperationPosition;PMM_Operation.OperationCategory;PMM_Operation.PMM_Operation_ID;BT_Kopf.PlainText;PMM_Operation.PrintGroup;PMM_OperationRes.ResourceCategory;PMM_OperationRes.ResourceGroup;PMM_OperationRes.PMM_OperationRes_ID;PMM_Operation.ActivityFormula;PMM_Operation.TSetup;PMM_Operation.TimeUnitTs;PMM_Operation.SetupOperation;PMM_Operation.TUnit;PMM_Operation.TimeUnitTu;PMM_Operation.TimeQuantityUnit;PMM_OperationRes.Intensity;PMM_Operation.MultiMachineFactor;PMM_Operation.ProdQuantityFactor;PMM_Operation.QuantitySublot;PMM_Operation.MinQuantity;PMM_Operation.ExcessDelivery;PMM_Operation.ShortDelivery;PMM_Operation.DataEntryID;PMM_Operation.CostItemGroup;PMM_Operation.LaborCategory;PMM_Operation.NoOfDataEntryTags;PMM_Operation.NoOfTimeTickets;PMM_Operation.InspectionStandard;PMM_Operation.NcProgramNumber;PMM_Operation.OperationClass;PMM_Operation.PartExternalOrder;PMM_Operation.Supplier;PMM_Operation.ListPrice;PMM_Operation.SupplierPrice;PMM_Operation.SupplierValue_DS_1;PMM_Operation.SupplierValue_DS_2;PMM_Operation.SupplierPerc_DS_1;PMM_Operation.SupplierPerc_DS_2;PMM_Operation.SupplierPerc_DS_3;PMM_Operation.QuantityFactor;PMM_Operation.DeliveryTime;PMM_Operation.DeliveryTimeUnit;PMM_Operation.DeliveryTimeQuantityUnit;PMM_Operation.TimeUoMDeliveryTime;PMM_Operation.ConsignmentArea;PMM_Operation.CycleTime;PMM_Operation.CycleTimeUnit;PMM_Operation.FormulaDec11;PMM_Operation.FormulaDec12;PMM_Operation.FormulaDec13;PMM_Operation.FormulaDec21;PMM_Operation.FormulaDec22;PMM_Operation.FormulaInt3;PMM_Operation.FormulaInt4;PMM_Operation.FormulaInt5;PMM_Operation.FormulaInt1;PMM_Operation.FormulaInt2;PMM_Operation.FormulaPCS3;PMM_Operation.FormulaPCS4;PMM_Operation.FormulaPCS5;PMM_Operation.FormulaPCS6;PMM_Operation.FormulaPCS7;PMM_Operation.FormulaPCS8;PMM_Operation.FormulaPCS9;PMM_Operation.FormulaPCS10;PMM_Operation.FormulaPCS1;PMM_Operation.FormulaPCS2;PMM_Operation.CheckTimeQM;PMM_Operation.CheckTypeQM;PMM_Operation.UsedForWOCovDate;PMM_Operation.Weight;PMM_Operation.PackInstructExt;PMM_Operation.FillQuantityExt;PMM_Operation.CustomsTariffOrigin;SBM_CustomsTariffNo.SBM_CustomsTariffNo_ID;PMM_Operation.SQUnitFactor;PMM_Operation.NoOfInterruptions;PMM_Operation.Interruptable;PMM_Operation.TimePeriod;PMM_Operation.TimeUnitPeriod;PMM_Operation.MinIntermedTime;PMM_Operation.TimeUnitIntermedTime;PMM_OperationRes.ResourcePosition;PMM_Operation.PackInstructInt;PMM_Operation.FillQuantityInt;PMM_Operation.WeightInt;PMM_Operation.q_902_StandStill;PMM_Operation.QPM_902_CheckList_ID;PMM_Operation.Q_902_isCheckMandatory;PMM_Operation.IsBufferOperation
;;0;0;;?;;0;no;;0;0;1;no;0;1;0;1;100;1;0;0;100;100;0;;;1;1;;;;;0;yes;0;0;0;0;0;0;1;0;4;0;0;?;0;1;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;None;LotSize;no;0;;0;1;;1;1;no;0;1;0;1;0;;0;0;no;;no;no
Column;Column Name;Description / Remark;Location in Proalpha;Data Type;Format
1;Prozess;Routing;PMM_RoutingMaster.PMM_Routing_ID;CHARACTER;x(20);
2;Indexnummer;Index Number;PMM_Routing.IndexNo;CHARACTER;x99;
3;AktivitätenPos;Operation Line;PMM_Operation.OperationPosition;INTEGER;zzz9;
4;Aktivitätenart;Operation Category;PMM_Operation.OperationCategory;INTEGER;99;
5;Aktivität;Operation;PMM_Operation.PMM_Operation_ID;CHARACTER;x(20);
6;PlainText;Plain Text;BT_Kopf.PlainText;CLOB;x(8);
7;Druckgruppe;Income Object Group;PMM_Operation.PrintGroup;CHARACTER;x(20);
8;Ressourcenart;Resource Category;PMM_OperationRes.ResourceCategory;INTEGER;99;
9;Ressourcengruppe;Resource Group;PMM_OperationRes.ResourceGroup;LOGICAL;ja/nein;
10;Ressource;Resource;PMM_OperationRes.PMM_OperationRes_ID;CHARACTER;x(20);
11;Formel;OprFormul;PMM_Operation.ActivityFormula;INTEGER;z9;
12;Rüstzeit;Setup Time (ts);PMM_Operation.TSetup;DECIMAL;zzz,zz9.99;
13;Zeiteinheit tr;Time Unit ts;PMM_Operation.TimeUnitTs;CHARACTER;9;
14;Rüstaktivität;Setup Operation;PMM_Operation.SetupOperation;LOGICAL;ja/nein;
15;Stückzeit;Unit Time (tu);PMM_Operation.TUnit;DECIMAL;zzz,zz9.99;
16;Zeiteinheit te;Time Unit tu;PMM_Operation.TimeUnitTu;CHARACTER;9;
17;Zeitmengeneinheit;Time Unit of Measure;PMM_Operation.TimeQuantityUnit;INTEGER;zz9;
18;Intensität;Intensity;PMM_OperationRes.Intensity;DECIMAL;zzz,zz9.99;
19;MehrMaschFaktor;Proportional Working Time per Machine;PMM_Operation.MultiMachineFactor;DECIMAL;zz9%;
20;ProdMengenfaktor;Proportional Work Order Quantity per Operation;PMM_Operation.ProdQuantityFactor;DECIMAL;zzz,zz9.9999999;
21;Menge Teillos;Quantity Sublot;PMM_Operation.QuantitySublot;INTEGER;zzz,zz9;
22;% Mindestmenge;Minimum Quantity;PMM_Operation.MinQuantity;DECIMAL;zz9%;
23;Überlieferung;Excess Delivery;PMM_Operation.ExcessDelivery;DECIMAL;zz9%;
24;Unterlieferung;Shortage Delivery;PMM_Operation.ShortDelivery;DECIMAL;zz9%;
25;RückmeldeKz;Data Entry ID;PMM_Operation.DataEntryID;INTEGER;z9;
26;Kostenartengruppe;Cost Item Group;PMM_Operation.CostItemGroup;CHARACTER;x(6);
27;Lohnart;Labor Category;PMM_Operation.LaborCategory;CHARACTER;x(3);
28;# Rückmeldescheine;Number of Prints Data Entry Tag;PMM_Operation.NoOfDataEntryTags;INTEGER;zz9;
29;# Lohnscheine;Number of Prints Time Ticket;PMM_Operation.NoOfTimeTickets;INTEGER;zz9;
30;Prüfplan;Testing Plan;PMM_Operation.InspectionStandard;CHARACTER;x(20);
31;NCProgrammNr;NC Program Number;PMM_Operation.NcProgramNumber;CHARACTER;x(20);
32;Aktivitätenklasse;Operation Class;PMM_Operation.OperationClass;CHARACTER;x(20);
33;Teil;Part;PMM_Operation.PartExternalOrder;CHARACTER;x(20);
34;Lieferant;Supplier;PMM_Operation.Supplier;INTEGER;zzzzzzzz;
35;Listenpreis;List Price;PMM_Operation.ListPrice;LOGICAL;ja/nein;
36;Preis;Price;PMM_Operation.SupplierPrice;DECIMAL;z,zzz,zz9.99;
37;wertm R/Z;Value Discount/Surcharge 1;PMM_Operation.SupplierValue_DS_1;DECIMAL;z,zzz,zz9.99-;
