GMT_OaPThresholdValue.Part;GMT_OaPThresholdValue.CalculationTime;GMT_OaPThresholdValue.ValuationDate;GMT_OaPThresholdValue.DestinationCountry;GMT_OaPThresholdValue.Agreement;GMT_OaPThresholdValue.PrefOriginCountry;GMT_OaPThresholdValue.OriginCountryComLaw;GMT_OaPThresholdValue.ProdInOriginCountry;GMT_OaPThresholdValue.StateOriginCountry;GMT_OaPThresholdValue.CommCodeComLaw;GMT_OaPThresholdValue.CommCodePref;GMT_OaPThresholdValue.PrefMinSellingPrice;GMT_OaPThresholdValue.ValueOfOrigMaterials;GMT_OaPThresholdValue.ValueOfNonOrigMaterials;GMT_OaPThresholdValue.CumulationCountries;GMT_OaPThresholdValue.OaPCumulation;GMT_OaPThresholdValue.ManufacturingCosts;GMT_OaPThresholdValue.Currency;GMT_OaPThresholdValue.LotSize;GMT_OaPThresholdValue.QtyUnit;GMT_OaPThresholdValue.AALACountry
;?;?;;;;;;;;;0;0;0;;0;0;0;1;0;
Column;Column Name;Description / Remark;Location in Proalpha;Data Type;Format
1;Teil;Part;GMT_OaPThresholdValue.Part;CHARACTER;x(20);
2;KalkZeitpunkt;Calculation Time;GMT_OaPThresholdValue.CalculationTime;DATETIME-TZ;99.99.9999 HH:MM:SS.SSS+HH:MM;
3;Bewertungsdatum;Valuation Date;GMT_OaPThresholdValue.ValuationDate;DATE;99.99.9999;
4;Bestimmungsland;Country of Arrival;GMT_OaPThresholdValue.DestinationCountry;CHARACTER;x(10);
5;Abkommen;Most Favored Nation Agreement and Free-Trade Agreement;GMT_OaPThresholdValue.Agreement;CHARACTER;x(255);
6;Präferenz-UrLand;Preferred Country of Origin;GMT_OaPThresholdValue.PrefOriginCountry;CHARACTER;x(2);
7;handelsr UrLand;Country of Origin as per Commercial Law;GMT_OaPThresholdValue.OriginCountryComLaw;CHARACTER;x(2);
8;Herg im UrLand;Produced in Country of Origin;GMT_OaPThresholdValue.ProdInOriginCountry;CHARACTER;x(2);
9;Ursprungsregion;State in Country of Origin;GMT_OaPThresholdValue.StateOriginCountry;CHARACTER;x(5);
10;handelsr WarenNr;Commodity Code as per Commercial Law;GMT_OaPThresholdValue.CommCodeComLaw;CHARACTER;x(12);
11;präf WarenNr;Commodity Code as per Preference;GMT_OaPThresholdValue.CommCodePref;CHARACTER;x(12);
12;präf MindVKPreis;Minimum Selling Price as per Preference;GMT_OaPThresholdValue.PrefMinSellingPrice;DECIMAL;zz,zzz,zzz,zz9.99999-;
13;Wert VmU;Value of Originating Materials;GMT_OaPThresholdValue.ValueOfOrigMaterials;DECIMAL;zz,zzz,zzz,zz9.99999-;
14;Wert VoU;Value of Non-Originating Materials;GMT_OaPThresholdValue.ValueOfNonOrigMaterials;DECIMAL;zz,zzz,zzz,zz9.99999-;
15;Kumulierungsländer;Countries interconnected as contracting parties;GMT_OaPThresholdValue.CumulationCountries;CHARACTER;x(1000);
16;Kz WuP-Kumulierung;Flag WuP Accumulation;GMT_OaPThresholdValue.OaPCumulation;INTEGER;9;
17;Herstellkosten;Manufacturing Costs;GMT_OaPThresholdValue.ManufacturingCosts;DECIMAL;zz,zzz,zzz,zz9.99999-;
18;Währung;Currency;GMT_OaPThresholdValue.Currency;INTEGER;zz9;
19;Losgröße;Lot Size;GMT_OaPThresholdValue.LotSize;INTEGER;zzz,zzz,zz9;
20;Mengeneinheit;Unit of Measure;GMT_OaPThresholdValue.QtyUnit;INTEGER;zz9;
21;AALA-Land;AALA Country (American Automobile Labeling Act);GMT_OaPThresholdValue.AALACountry;CHARACTER;x(2);
