c_Index;MB_Ressource.RessPos;MB_Ressource.RessArt;MB_Ressource.AltGruppe;MB_Ressource.Ressource;MB_Ressource.Bemerkung;MB_Ressource.AlternativGr
;0;0;;;;no
Column;Column Name;Description / Remark;Location in Proalpha;Data Type;Format
1;Index;;;;;
2;Ressourcenposition;Resource Line;MB_Ressource.RessPos;INTEGER;zzz9;
3;Ressourcenart;Resource Category;MB_Ressource.RessArt;INTEGER;99;
4;Alternativgruppe;Alternate Group;MB_Ressource.AltGruppe;CHARACTER;x(20);
5;Ressource;Resource;MB_Ressource.Ressource;CHARACTER;x(20);
6;Bemerkung;Remarks;MB_Ressource.Bemerkung;CHARACTER;x(30);
7;Alternativgruppe (ja/nein);Alternate Group;MB_Ressource.AlternativGr;LOGICAL;ja/nein;
