TS_Buchung.KostenTraeger;TS_Buchung.TrKoArt;TS_Buchung.BuchungsDatum;TS_Buchung.BuchungsJahr;TS_Buchung.BuchungsPeriode;TS_Buchung.Betrag;TS_Buchung.FixBetrag;TS_Buchung.VarBetrag;TS_Buchung.BuchungsText;TS_Buchung.Menge;TS_Buchung.BezugsGroesse;TS_Buchung.Kostenstelle;TS_Buchung.BelegNummer;TS_Buchung.BelegDatum;TS_Buchung.Benutzer;TS_Buchung.Mitarbeiter;TS_Buchung.GeschPartner;KS_Buchung.Fehler
;0;today;0;0;0;0;0;;0;;0;0;today;;0;0;no
Column;Column Name;Description / Remark;Location in Proalpha;Data Type;Format
1;Kostenträger;Cost Object;TS_Buchung.KostenTraeger;CHARACTER;x(20);
2;Kostenart;Cost Item;TS_Buchung.TrKoArt;INTEGER;zzzzzzzz;
3;Buchungsdatum;Posting Date;TS_Buchung.BuchungsDatum;DATE;99.99.9999;
4;Geschäftsjahr;Fiscal Year;TS_Buchung.BuchungsJahr;DECIMAL;9999;
5;Buchungsperiode;Posting Period;TS_Buchung.BuchungsPeriode;INTEGER;99;
6;Betrag;Amount;TS_Buchung.Betrag;DECIMAL;zzz,zzz,zz9.99-;
7;Betrag fix;Amount Fixed;TS_Buchung.FixBetrag;DECIMAL;zzz,zzz,zz9.99-;
8;Betrag variabel;Amount Variable;TS_Buchung.VarBetrag;DECIMAL;zzz,zzz,zz9.99-;
9;Buchungstext;Posting Text;TS_Buchung.BuchungsText;CHARACTER;x(40);
10;Menge;Quantity;TS_Buchung.Menge;DECIMAL;zzz,zzz,zz9.999-;
11;Bezugsgröße;Base Measure;TS_Buchung.BezugsGroesse;CHARACTER;x(4);
12;Kostenstelle;Cost Center;TS_Buchung.Kostenstelle;INTEGER;zzzzzzz9;
13;Belegnummer;Document Number;TS_Buchung.BelegNummer;DECIMAL;zzzzzzz9;
14;Belegdatum;Document Date;TS_Buchung.BelegDatum;DATE;99.99.9999;
15;Benutzer;Users;TS_Buchung.Benutzer;CHARACTER;x(12);
16;Mitarbeiter;Employee Number of User;TS_Buchung.Mitarbeiter;INTEGER;zzzzz9;
17;Kunde/Lieferant;Customer/Supplier;TS_Buchung.GeschPartner;INTEGER;zzzzzzzz;
18;Fehler;Errors;KS_Buchung.Fehler;LOGICAL;ja/nein;
