timestamps,inlet_volume,outlet_volume,Delta Mass,inlet_pressure,outlet_pressure
2025-03-24T09:00:00,354.24,369.26,354.24,354.24,369.26
2025-03-24T09:01:00,369.6,376,369.6,369.6,376
2025-03-24T09:02:00,282.64,376.16,282.64,282.64,376.16
2025-03-24T09:03:00,302.27,378.87,302.27,302.27,378.87
2025-03-24T09:04:00,365.29,381.96,365.29,365.29,381.96
2025-03-24T09:05:00,518.68,376.28,518.68,518.68,376.28
2025-03-24T09:06:00,505.94,369.94,505.94,505.94,369.94
2025-03-24T09:07:00,506.66,367.52,506.66,506.66,367.52
2025-03-24T09:08:00,507.5,374.61,507.5,507.5,374.61
2025-03-24T09:09:00,488.16,381.05,488.16,488.16,381.05
2025-03-24T09:10:00,324.71,397.66,324.71,324.71,397.66
2025-03-24T09:11:00,223.42,409.4,223.42,223.42,409.4
2025-03-24T09:12:00,220.23,421.81,220.23,220.23,421.81
2025-03-24T09:13:00,293.49,421.89,293.49,293.49,421.89
2025-03-24T09:14:00,416.21,400.07,416.21,416.21,400.07
2025-03-24T09:15:00,426.19,389.66,426.19,426.19,389.66
2025-03-24T09:16:00,397.84,374.36,397.84,397.84,374.36
2025-03-24T09:17:00,375.57,369.4,375.57,375.57,369.4
2025-03-24T09:18:00,377.88,382.44,377.88,377.88,382.44
2025-03-24T09:19:00,393.7,384.29,393.7,393.7,384.29
2025-03-24T09:20:00,423.3,382.09,423.3,423.3,382.09
2025-03-24T09:21:00,350.73,387.7,350.73,350.73,387.7
2025-03-24T09:22:00,398.87,387.9,398.87,398.87,387.9
2025-03-24T09:23:00,316.92,391.51,316.92,316.92,391.51
2025-03-24T09:24:00,310.72,373.9,310.72,310.72,373.9
2025-03-24T09:25:00,276.79,375.66,276.79,276.79,375.66
2025-03-24T09:26:00,277.76,378.25,277.76,277.76,378.25
2025-03-24T09:27:00,302.99,383.83,302.99,302.99,383.83
2025-03-24T09:28:00,432.67,380.05,432.67,432.67,380.05
2025-03-24T09:29:00,424.83,364.69,424.83,424.83,364.69
2025-03-24T09:30:00,421.9,356.98,421.9,421.9,356.98
2025-03-24T09:31:00,429.54,344.93,429.54,429.54,344.93
2025-03-24T09:32:00,416.49,356.8,416.49,416.49,356.8
2025-03-24T09:33:00,418.2,362.48,418.2,418.2,362.48
2025-03-24T09:34:00,393.26,370.68,393.26,393.26,370.68
2025-03-24T09:35:00,390.64,374.92,390.64,390.64,374.92
2025-03-24T09:36:00,394.13,377.2,394.13,394.13,377.2
2025-03-24T09:37:00,284.19,379.57,284.19,284.19,379.57
2025-03-24T09:38:00,448.82,383.81,448.82,448.82,383.81
2025-03-24T09:39:00,434.07,382.65,434.07,434.07,382.65
2025-03-24T09:40:00,387.5,378.42,387.5,387.5,378.42
2025-03-24T09:41:00,379.84,377.8,379.84,379.84,377.8
2025-03-24T09:42:00,379.59,387.13,379.59,379.59,387.13
2025-03-24T09:43:00,379.9,387.45,379.9,379.9,387.45
2025-03-24T09:44:00,371.29,380.51,371.29,371.29,380.51
2025-03-24T09:45:00,288.02,377.06,288.02,288.02,377.06
2025-03-24T09:46:00,352.24,383.64,352.24,352.24,383.64
2025-03-24T09:47:00,475.45,387.05,475.45,475.45,387.05
2025-03-24T09:48:00,448,387.09,448,448,387.09
2025-03-24T09:49:00,445.36,383.41,445.36,445.36,383.41
2025-03-24T09:50:00,470.6,382.35,470.6,470.6,382.35
2025-03-24T09:51:00,463.5,388.02,463.5,463.5,388.02
2025-03-24T09:52:00,456.8,383.81,456.8,456.8,383.81
2025-03-24T09:53:00,458.34,387.64,458.34,458.34,387.64
2025-03-24T09:54:00,460.34,398.06,460.34,460.34,398.06
2025-03-24T09:55:00,448.8,404.71,448.8,448.8,404.71
2025-03-24T09:56:00,336.16,405.07,336.16,336.16,405.07
2025-03-24T09:57:00,340.92,421.97,340.92,340.92,421.97
2025-03-24T09:58:00,356.24,423.06,356.24,356.24,423.06
2025-03-24T09:59:00,353.48,426,353.48,353.48,426
2025-03-24T10:00:00,466.5,429.54,466.5,466.5,429.54
2025-03-24T10:01:00,451.58,424.09,451.58,451.58,424.09
2025-03-24T10:02:00,469.2,415.96,469.2,469.2,415.96
2025-03-24T10:03:00,468.86,412.78,468.86,468.86,412.78
2025-03-24T10:04:00,444.23,413.36,444.23,444.23,413.36
2025-03-24T10:05:00,442,417.72,442,442,417.72
2025-03-24T10:06:00,439.74,432.63,439.74,439.74,432.63
2025-03-24T10:07:00,471.02,439.09,471.02,471.02,439.09
2025-03-24T10:08:00,327.22,438.36,327.22,327.22,438.36
2025-03-24T10:09:00,292.16,431.35,292.16,292.16,431.35
2025-03-24T10:10:00,325.8,427.13,325.8,325.8,427.13
2025-03-24T10:11:00,377.67,426.38,377.67,377.67,426.38
2025-03-24T10:12:00,402,414.14,402,402,414.14
2025-03-24T10:13:00,373.61,399.54,373.61,373.61,399.54
2025-03-24T10:14:00,373.44,405.4,373.44,373.44,405.4
2025-03-24T10:15:00,381.81,399.81,381.81,381.81,399.81
2025-03-24T10:16:00,280.2,406.18,280.2,280.2,406.18
2025-03-24T10:17:00,266.52,405.67,266.52,266.52,405.67
2025-03-24T10:18:00,438.92,400.34,438.92,438.92,400.34
2025-03-24T10:19:00,430.94,399.62,430.94,430.94,399.62
2025-03-24T10:20:00,425.24,383.87,425.24,425.24,383.87
