S_LieferBed.LieferBedingung;S_LieferBedSpr.Bezeichnung;S_LieferBed.Selektion;S_LieferBed.Suchbegriff;S_LieferBed.Bestimmungsort;S_LieferBed.Archived;S_LieferBed.Fracht_berechnen;S_LieferBed.Incoterm;S_LieferBed.Statistikwert;S_LieferBed.uCA_ChargePackaging;S_LieferBed.uCA_FreightOriginType
0;;;;1;no;no;;no;no;1
Column;Column Name;Description / Remark;Location in Proalpha;Data Type;Format
1;Lieferbedingung;Terms of Delivery;S_LieferBed.LieferBedingung;INTEGER;zz9;
2;Bezeichnung;Description Terms of Delivery;S_LieferBedSpr.Bezeichnung;CHARACTER;x(70);
3;Selektion;Selection;S_LieferBed.Selektion;CHARACTER;x(20);
4;Suchbegriff;Search Term;S_LieferBed.Suchbegriff;CHARACTER;x(12);
5;Bestimmungsort;Place of Destination;S_LieferBed.Bestimmungsort;INTEGER;z9;
6;archiviert;Archived;S_LieferBed.Archived;LOGICAL;ja/nein;
7;Fracht berechnen;Charge Freight;S_LieferBed.Fracht_berechnen;LOGICAL;ja/nein;
8;Incoterm;Incoterm;S_LieferBed.Incoterm;CHARACTER;x(3);
9;ident statWert;Identical Statistical Value;S_LieferBed.Statistikwert;LOGICAL;identisch/nicht ident;
10;Verp berechnen;Invoice Packaging;S_LieferBed.uCA_ChargePackaging;LOGICAL;ja/nein;
11;Fracht berechnen;Type of Freight Costing;S_LieferBed.uCA_FreightOriginType;INTEGER;9;
