P_ZeichnungArtikel.Zeichnung;P_ZeichnungArtikel.Artikel;P_ZeichnungArtikel.Hauptzeichnung;P_ZeichnungArtikel.Druckfolge;P_ZeichnungArtikel.MassTabelle
;;no;1;
Column;Column Name;Description / Remark;Location in Proalpha;Data Type;Format
1;Zeichnung;Drawing;P_ZeichnungArtikel.Zeichnung;CHARACTER;x(30);
2;Teil;Part;P_ZeichnungArtikel.Artikel;CHARACTER;x(20);
3;Hauptzeichnung;Main Drawing;P_ZeichnungArtikel.Hauptzeichnung;LOGICAL;ja/nein;
4;Druckfolge;Print Sequence;P_ZeichnungArtikel.Druckfolge;INTEGER;zz9;
5;Maﬂtabelle;Size Chart;P_ZeichnungArtikel.MassTabelle;CHARACTER;x(3);
