S_Bezug.BezugsGroesse;S_BezugSpr.Bezeichnung;S_Bezug.BG_Art;S_Bezug.nach_Bzg;S_Bezug.Additiv
;;L;;yes
Column;Column Name;Description / Remark;Location in Proalpha;Data Type;Format
1;Bezugsgröße;Base Measure;S_Bezug.BezugsGroesse;CHARACTER;x(4);
2;Bezeichnung;Description Base Measure;S_BezugSpr.Bezeichnung;CHARACTER;x(30);
3;Bezugsgrößenart;Base Measure Category;S_Bezug.BG_Art;CHARACTER;!;
4;VerdichtungsBzGr;Rollup Base Measure;S_Bezug.nach_Bzg;CHARACTER;x(4);
5;additiv;Accumulated;S_Bezug.Additiv;LOGICAL;ja/nein;
