DRC_Table.DRC_Table_ID;c_MainIndexFields;BBT_WflLockStatusInst.BBM_WflLockStatus_ID;BBT_WflLockStatusInst.LimitedFrom;BBT_WflLockStatusInst.LimitedTo;BBT_WflLockStatusInst.Remark
;;0;?;?;
Column;Column Name;Description / Remark;Location in Proalpha;Data Type;Format
1;Table Name;Table Name;DRC_Table.DRC_Table_ID;CHARACTER;x(25);
2;c_MainIndexFields;;;;;
3;Zustand;Status;BBT_WflLockStatusInst.BBM_WflLockStatus_ID;INTEGER;zz9;
4;befristet ab;Limited From;BBT_WflLockStatusInst.LimitedFrom;DATE;99.99.9999;
5;befristet bis;Limited To;BBT_WflLockStatusInst.LimitedTo;DATE;99.99.9999;
6;Explanation;Remark;BBT_WflLockStatusInst.Remark;CHARACTER;x(40);
