S_KundeVertreter.Kunde;S_KundeVertreter.Vertreter;S_KunVtrDatum.gueltig_ab;S_KunVtrDatum.gueltig_bis;S_KunVtrDatum.Provision;S_KundeVertreter.Hauptvertreter;S_KundeVertreter.VtrFixiert
0;0;?;?;0;no;no
Column;Column Name;Description / Remark;Location in Proalpha;Data Type;Format
1;Kunde;Customer;S_KundeVertreter.Kunde;INTEGER;zzzzzzzz;
2;Vertreter;Sales Agent;S_KundeVertreter.Vertreter;INTEGER;zz9;
3;gültig ab;Valid From;S_KunVtrDatum.gueltig_ab;DATE;99.99.9999;
4;gültig bis;Valid Until;S_KunVtrDatum.gueltig_bis;DATE;99.99.9999;
5;Provisionssatz;Commission Rate;S_KunVtrDatum.Provision;DECIMAL;z9.99%;
6;Hauptvertreter;Main Sales Agent;S_KundeVertreter.Hauptvertreter;LOGICAL;ja/nein;
7;Vertreter fixiert;Sales Agent Fixed;S_KundeVertreter.VtrFixiert;LOGICAL;ja/nein;
