BMT_Note.Subject;BB_Bereich.Bereich;c_schluessel1;c_schluessel2;c_schluessel3;c_schluessel4;c_schluessel5;c_schluessel6;c_schluessel7;c_schluessel8;BMT_Note.NoteText;BMT_Note.LimitedFrom;BMT_Note.LimitedTo;BS_Zuord.SMArt;BS_Zuord.SMLeiste;BS_Zuord.Merkmal;BS_Zuord.Auspr;c_XXXausprauto
;;;;;;;;;;;?;?;;;;;
Column;Column Name;Description / Remark;Location in Proalpha;Data Type;Format
1;Bezeichnung;Subject;BMT_Note.Subject;CHARACTER;x(80);
2;Bereich;Category;BB_Bereich.Bereich;CHARACTER;x(6);
3;Key1;;;;;
4;Key2;;;;;
5;Key3;;;;;
6;Key4;;;;;
7;Key5;;;;;
8;Key6;;;;;
9;Key7;;;;;
10;Key8;;;;;
11;Remark;Note Text;BMT_Note.NoteText;CHARACTER;x(255);
12;befristet ab;Limited From;BMT_Note.LimitedFrom;DATE;99.99.9999;
13;befristet bis;Limited To;BMT_Note.LimitedTo;DATE;99.99.9999;
14;Merkmalsart;ClassSystem Type;BS_Zuord.SMArt;CHARACTER;x(3);
15;Merkmalsleiste;Classification System;BS_Zuord.SMLeiste;CHARACTER;x(8);
16;Merkmal;Feature;BS_Zuord.Merkmal;CHARACTER;x(6);
17;Ausprägung;Specification;BS_Zuord.Auspr;CHARACTER;x(20);
18;c_XXXausprauto;;;;;
