S_MengenEinheit.MengenEinheit;S_MengenEinheitSpr.Bezeichnung;S_MengenEinheitSpr.KurzBez;S_MengenEinheit.BezugsGroesse;S_MengenEinheit.Nachkomma;S_MengenEinheit.F_UnitOfMeasure
0;;;;0;
Column;Column Name;Description / Remark;Location in Proalpha;Data Type;Format
1;Mengeneinheit;Unit of Measure;S_MengenEinheit.MengenEinheit;INTEGER;zz9;
2;Bezeichnung;Description Unit of Measure;S_MengenEinheitSpr.Bezeichnung;CHARACTER;x(30);
3;KBez Mengeneinheit;Abbreviation Unit of Measure;S_MengenEinheitSpr.KurzBez;CHARACTER;x(3);
4;Bezugsgröße;Base Measure;S_MengenEinheit.BezugsGroesse;CHARACTER;x(4);
5;Nachkommastellen;Number of Decimal Places;S_MengenEinheit.Nachkomma;INTEGER;9;
6;ext Mengeneinheit;External Unit of Measure;S_MengenEinheit.F_UnitOfMeasure;CHARACTER;x(20);
