VC_Interessent.Interessent;VC_Interessent.Kunde;S_Adresse.AdressNr;S_Adresse.Name1;S_Adresse.Staat;S_Adresse.Ort;S_Adresse.Suchbegriff;S_Adresse.Selektion;S_Adresse.BriefAnrede;S_Adresse.Anrede;S_Adresse.Titel;S_Adresse.Vorname;S_Adresse.Name2;S_Adresse.Name3;S_Adresse.PLZ;S_Adresse.CityPrefix;S_Adresse.CityPostfix;S_Adresse.StreetPrefix;S_Adresse.Strasse;S_Adresse.StreetPostfix;S_Adresse.Hausnummer;S_Adresse.Bundesland;S_Adresse.PLZ_Postfach;S_Adresse.Postfach;S_Adresse.Telefonbuch;S_Adresse.EMail;S_Adresse.HomePage;S_Adresse.Handy;S_Adresse.Telefon;S_Adresse.AutoTelefon;S_Adresse.Telefax;S_Adresse.Telefon2;S_Adresse.Telefax2;S_Adresse.Longitude;S_Adresse.Latitude;VC_Interessent.Suchbegriff;VC_Interessent.Selektion;VC_Interessent.VerteilerGruppe;VC_Interessent.Branche;VC_Interessent.Sachbearbeiter;VC_Interessent.Sprache;VC_Interessent.BrancheInteressent;VC_Interessent.Region;VC_Interessent.Kontaktklasse;VC_Interessent.Waehrung;VC_Interessent.PreisGruppe;VC_Interessent.Rabattgruppe;VC_Interessent.RabattArt;VC_Interessent.Fracht_Skontofaehig;VC_Interessent.Konzern;VC_Interessent.Verband;VC_Interessent.Zugehoerigkeit;VC_Interessent.ZahlungsArt;VC_Interessent.ZahlungsZiel;VC_Interessent.Bank;VC_Interessent.BankKonto;VC_Interessent.IBAN;VC_Interessent.VersandArt;VC_Interessent.LieferBedingung;c_VC_INTERESSENTeuroland;VC_Interessent.StGr_mit_ST;VC_Interessent.StGr_ohne_ST;VC_Interessent.StGrEU_mit_ST;VC_Interessent.StGrEU_ohne_ST;VC_Interessent.StGrAus_mit_ST;VC_Interessent.StGrAus_ohne_ST;VC_Interessent.Bemerkung;c_BB_SPERRZUORDsperrgrundSTR;VC_Interessent.DomesticTaxID;VC_Interessent.CharacterField1;VC_Interessent.CharacterField2;VC_Interessent.CharacterField3;VC_Interessent.CharacterField4;VC_Interessent.CharacterField5;VC_Interessent.DecimalField1;VC_Interessent.DecimalField2;VC_Interessent.DecimalField3;VC_Interessent.DecimalField4;VC_Interessent.DecimalField5;VC_Interessent.CtrlGroupStateTax;VC_Interessent.CtrlGroupStateNoTax
0;0;0;;;;;;;;;;;;;;;;;;;;;;yes;;;;;;;;;0;0;;;;;;D;;;;0;;;yes;no;0;0;0;0;0;;;;0;0;;1;1;1;1;1;1;;;;;;;;;0;0;0;0;0;1;1
Column;Column Name;Description / Remark;Location in Proalpha;Data Type;Format
1;Kontakt;Prospect;VC_Interessent.Interessent;INTEGER;zzzzzzzz;
2;Kunde;Customer;VC_Interessent.Kunde;INTEGER;zzzzzzzz;
3;Adressnummer;Address Number;S_Adresse.AdressNr;INTEGER;zzzzzzz9;
4;Name;Name 1;S_Adresse.Name1;CHARACTER;x(80);
5;Staat;Country;S_Adresse.Staat;CHARACTER;x(3);
6;Ort;City;S_Adresse.Ort;CHARACTER;x(30);
7;Suchbegriff;Search Term;S_Adresse.Suchbegriff;CHARACTER;x(12);
8;Selektion;Selection;S_Adresse.Selektion;CHARACTER;x(20);
9;Briefanrede;Letter Salutation;S_Adresse.BriefAnrede;CHARACTER;x(50);
10;Anrede;Salutation;S_Adresse.Anrede;CHARACTER;x(30);
11;Titel;Title;S_Adresse.Titel;CHARACTER;x(50);
12;Vorname;First Name;S_Adresse.Vorname;CHARACTER;x(80);
13;Name 2;Name 2;S_Adresse.Name2;CHARACTER;x(80);
14;Name 3;Name 3;S_Adresse.Name3;CHARACTER;x(80);
15;Postleitzahl;ZIP Code;S_Adresse.PLZ;CHARACTER;x(10);
16;Prefix Ort;Prefix City;S_Adresse.CityPrefix;CHARACTER;x(40);
17;Postfix Ort;Postfix City;S_Adresse.CityPostfix;CHARACTER;x(40);
18;Prefix Straﬂe;Prefix Street;S_Adresse.StreetPrefix;CHARACTER;x(40);
19;Straﬂe;Street;S_Adresse.Strasse;CHARACTER;x(50);
20;Postfix Straﬂe;Postfix Street;S_Adresse.StreetPostfix;CHARACTER;x(40);
21;Hausnummer;Street Number;S_Adresse.Hausnummer;CHARACTER;x(12);
22;Bundesland;State;S_Adresse.Bundesland;CHARACTER;x(3);
23;PLZ Postfach;ZIP PO Box;S_Adresse.PLZ_Postfach;CHARACTER;x(10);
24;Postfach;PO Box;S_Adresse.Postfach;CHARACTER;x(30);
25;Telefonbuch;Manage Address in Central Telephone Book;S_Adresse.Telefonbuch;LOGICAL;ja/nein;
26;E-Mail;E-Mail;S_Adresse.EMail;CHARACTER;x(254);
27;Homepage;Homepage;S_Adresse.HomePage;CHARACTER;x(60);
28;Handy;Cell Phone;S_Adresse.Handy;CHARACTER;x(25);
29;Telefon;Telephone;S_Adresse.Telefon;CHARACTER;x(25);
30;Autotelefon;Car Phone;S_Adresse.AutoTelefon;CHARACTER;x(25);
31;Telefax;Fax;S_Adresse.Telefax;CHARACTER;x(25);
32;Telefon 2;Telephone 2;S_Adresse.Telefon2;CHARACTER;x(25);
33;Telefax 2;Fax 2;S_Adresse.Telefax2;CHARACTER;x(25);
34;L‰ngengrad;Longitude;S_Adresse.Longitude;DECIMAL;-zz9.9999999999;
35;Breitengrad;Latitude;S_Adresse.Latitude;DECIMAL;-zz9.9999999999;
36;Suchbegriff;Search Term;VC_Interessent.Suchbegriff;CHARACTER;x(12);
37;Selektion;Selection;VC_Interessent.Selektion;CHARACTER;x(20);
38;Verteilergruppe;Work Group;VC_Interessent.VerteilerGruppe;CHARACTER;x(6);
39;Branche;Industry;VC_Interessent.Branche;CHARACTER;x(6);
40;Sachbearbeiter;Specialist;VC_Interessent.Sachbearbeiter;CHARACTER;x(12);
41;Sprache;Language;VC_Interessent.Sprache;CHARACTER;x(3);
42;Branche Kontakt;Industry Contact;VC_Interessent.BrancheInteressent;CHARACTER;x(6);
43;Region;Region;VC_Interessent.Region;CHARACTER;x(6);
44;Kontaktklasse;Contact Class;VC_Interessent.Kontaktklasse;CHARACTER;x(8);
45;W‰hrung;Currency;VC_Interessent.Waehrung;INTEGER;zz9;
46;Preisliste;Price Group;VC_Interessent.PreisGruppe;CHARACTER;x(6);
47;Rabattgruppe;Discount Group;VC_Interessent.Rabattgruppe;CHARACTER;x(6);
48;Rabatt sichtbar;Discount Type;VC_Interessent.RabattArt;LOGICAL;sichtbar/verdeckt;
49;Fracht skontof‰hig;Freight Cash Discountable;VC_Interessent.Fracht_Skontofaehig;LOGICAL;ja/nein;
50;Konzern;Company Group;VC_Interessent.Konzern;INTEGER;zzzzzzzz;
51;Verband;Association;VC_Interessent.Verband;INTEGER;zzzzzzzz;
52;Zugehˆrigkeit;Affiliation;VC_Interessent.Zugehoerigkeit;INTEGER;zzzzzzz9;
53;Zahlungsart;Payment Method;VC_Interessent.ZahlungsArt;INTEGER;z9;
54;Zahlungsziel;Credit Terms;VC_Interessent.ZahlungsZiel;INTEGER;zz9;
55;Bank;Bank;VC_Interessent.Bank;CHARACTER;x(12);
56;Bankkonto;Bank Account;VC_Interessent.BankKonto;CHARACTER;x(35);
57;IBAN;IBAN;VC_Interessent.IBAN;CHARACTER;XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XX;
58;Versandart;Shipping Type;VC_Interessent.VersandArt;INTEGER;zz9;
59;Lieferbedingung;Terms of Delivery;VC_Interessent.LieferBedingung;INTEGER;zz9;
60;c_VC_INTERESSENTeuroland;;;;;
61;StGr mit St ILa;Account Group ID with Tax Domestic Country;VC_Interessent.StGr_mit_ST;INTEGER;zz9;
62;StGr ohne St ILa;Account Group ID Without Tax Domestic Country;VC_Interessent.StGr_ohne_ST;INTEGER;zz9;
63;StGr m St AL StG;Acct Group ID with Tax Foreign Country (Community of States);VC_Interessent.StGrEU_mit_ST;INTEGER;zz9;
64;StGr o St AL StG;Acct Group ID w/o Tax Foreign Country (Community of States);VC_Interessent.StGrEU_ohne_ST;INTEGER;zz9;
65;StGr m St AL DLa;Account Group ID with Tax Foreign Country (Third Country);VC_Interessent.StGrAus_mit_ST;INTEGER;zz9;
66;StGr o St AL DLa;Account Group ID Without Tax Foreign Country (Third Country);VC_Interessent.StGrAus_ohne_ST;INTEGER;zz9;
67;Bemerkung;Remarks;VC_Interessent.Bemerkung;CHARACTER;x(255);
68;c_BB_SPERRZUORDsperrgrundSTR;;;;;
69;inl SteuerNr;Domestic Tax ID;VC_Interessent.DomesticTaxID;CHARACTER;x(20);
70;Wert;CharacterField1;VC_Interessent.CharacterField1;CHARACTER;x(20);
71;Wert 2;CharacterField2;VC_Interessent.CharacterField2;CHARACTER;x(20);
72;Wert 3;CharacterField3;VC_Interessent.CharacterField3;CHARACTER;x(20);
73;Wert 4;CharacterField4;VC_Interessent.CharacterField4;CHARACTER;x(20);
74;Wert 5;CharacterField5;VC_Interessent.CharacterField5;CHARACTER;x(20);
75;Wert;DecimalField1;VC_Interessent.DecimalField1;DECIMAL;zz9.9999999999-;
76;Wert 2;DecimalField2;VC_Interessent.DecimalField2;DECIMAL;zz9.9999999999-;
77;Wert 3;DecimalField3;VC_Interessent.DecimalField3;DECIMAL;zz9.9999999999-;
