MS_ProdAktePos.Seriennummer;MS_ProdAktePos.SNRArt;MS_ProdAktePos.Akte;MS_ProdAktePos.PositionsNr;c_MS_PRODAKTEPOShierarchie;MS_ProdAktePos.Artikel;MS_ProdAktePos.MengeBrutto;MS_ProdAktePos.MengeTausch;MS_ProdAktePos.ZeichnungsPosition;MS_ProdAktePos.Bemerkung1;MS_ProdAktePos.Bemerkung2;MS_ProdAktePos.Bemerkung3;MS_ProdAktePos.Bemerkung4;MS_ProdAktePos.Charge;MS_ProdAktePos.StkZeilenArt;MS_ProdAktePos.ArtVar;MS_ProdAktePos.StkFormel;MS_ProdAktePos.SNRArt_1;MS_ProdAktePos.Seriennummer_1
;;0;0;;;1;0;;;;;;;;;0;;
Column;Column Name;Description / Remark;Location in Proalpha;Data Type;Format
1;Seriennummer;Serial Number;MS_ProdAktePos.Seriennummer;CHARACTER;x(20);
2;SNRArt;Serial Number Category;MS_ProdAktePos.SNRArt;CHARACTER;x(6);
3;Akte;File;MS_ProdAktePos.Akte;INTEGER;zzzzzzz9;
4;Position;Line;MS_ProdAktePos.PositionsNr;INTEGER;zzzzzzzzz9;
5;c_MS_PRODAKTEPOShierarchie;;;;;
6;Teil;Part;MS_ProdAktePos.Artikel;CHARACTER;x(20);
7;Menge brutto;Quantity Gross;MS_ProdAktePos.MengeBrutto;DECIMAL;-zzz,zzz,zz9.999;
8;Menge getauscht;Quantity Replaced;MS_ProdAktePos.MengeTausch;DECIMAL;zzz,zzz,zz9.999;
9;ZeichnungsPos;Bubble Number;MS_ProdAktePos.ZeichnungsPosition;CHARACTER;x(6);
10;Bemerkung1;Remark1;MS_ProdAktePos.Bemerkung;CHARACTER;x(30);
11;Bemerkung2;Remark2;MS_ProdAktePos.Bemerkung;CHARACTER;x(30);
12;Bemerkung3;Remark3;MS_ProdAktePos.Bemerkung;CHARACTER;x(30);
13;Bemerkung4;Remark4;MS_ProdAktePos.Bemerkung;CHARACTER;x(30);
14;Chargennummer;Lot Number;MS_ProdAktePos.Charge;CHARACTER;x(20);
15;Verwendungsart;Usage Category;MS_ProdAktePos.StkZeilenArt;CHARACTER;x(40);
16;Variante;Variant;MS_ProdAktePos.ArtVar;CHARACTER;x(6);
17;Formel;Formula Gross Size;MS_ProdAktePos.StkFormel;INTEGER;z9;
18;SNRArt Pos;Serial Number Category Line;MS_ProdAktePos.SNRArt_1;CHARACTER;x(6);
19;Seriennummer Pos;Serial Number Line;MS_ProdAktePos.Seriennummer_1;CHARACTER;x(20);
