phon_epitran,phon_ipa
E,ə
 A , a 
Z,z
I,iː
Ø,øː
: ,
q,kʰ
ˆ,
ä h,ɛː
D ,
iː̂,iː
aː̈,aː
e̯,ɛ
uː̈,uː
uː̂,uː
̊,
́,
r̥ ,ʀ 
rˆ ,ʀ 
oː̈,oː
r ,ʀ 
d ,d̺ 
k ,kʰ 
t ,t̺ʰ 
p ,pʰ 
ɪ̯ ,ɪ 
ʊ̯ ,ʊ 
i ,iː 
e ,eː 
u ,uː 
y ,ʏ 
o ,oː 
ø ,øː 
ä ,ɛː 
