phon_epitran,phon_ipa
˧ ˥,˧˥
˨ ˥,˨˥
˨ ˩,˧˩̰
˩ ˧,˩˧
˨ ˧,˨˧
˨,˨
˥,˥
˧,˧
e i,ei
a i,ai
ɔ i,ɔi
ɛ u,ɛu
a u,au
o u,ou
ɐ u,ɐu
ɵ y,ɵy
ɐ i,ɐi
u i,ui
i u,iu
t s,ts
t s ʰ,tsʰ
6 ,
8 ,
