phon_epitran,phon_ipa
˧ ˥,˧˥
˨ ˩,˨˩
˥ ˩,˥˩
u a i,uai
u e i,uei
i a u,iau
i o u,iou
i e,ie
a i,ai
i a,ia
u ə,uə
y e,ye
a u,au
o u,ou
e i,ei
u o,uo
u a,ua
i u,iu
