OriginA,DestinationA,OriginB,DestinationB,aDist,aTime,bDist,bTime,aIntersecRatio,bIntersecRatio
"5.373588,-3.998759","5.327810,-4.005012","5.373588,-3.998759","5.327810,-4.005012",5.348,12.9,5.348,12.9,1.0,1.0
"5.373588,-3.998759","5.327810,-4.005012","5.361826,-3.990009","5.322763,-4.002270",5.348,12.9,5.868,15.0,0.728897640915831,0.6704361582628564
"5.373588,-3.998760","5.327810,-4.005013","5.368385,-4.006019","5.335087,-3.995491",5.348,12.916666666666666,6.116,16.3,0.7389441840126522,0.6742310640333136
"5.373588,-3.998761","5.327810,-4.005014","5.355748,-3.969820","5.333238,-4.006999",5.348,12.916666666666666,6.366,15.35,0.22361980680352483,0.19995074596213888
"5.373588,-3.998762","5.327810,-4.005015","5.392951,-3.975507","5.347369,-4.003102",5.348,12.916666666666666,10.556,24.766666666666666,0.09479327952288182,0.049534874299369654
"5.361826,-3.990009","5.322763,-4.002270","5.368385,-4.006019","5.335087,-3.995491",5.868,15.0,6.116,16.3,0.5663135854243234,0.5617760481080836
"5.355748,-3.969820","5.333238,-4.006999","5.392951,-3.975507","5.347369,-4.003102",6.366,15.35,10.556,24.766666666666666,0.7719848619034171,0.45115891136903574
