Filter  Pivot   BW      EffR    lmin    lmax    photmjsr
F070W	0.704	0.128	0.237	0.624	0.781	4.364
F090W	0.901	0.194	0.318	0.795	1.005	3.317
F115W	1.154	0.225	0.333	1.013	1.282	3.102
F140M	1.404	0.142	0.434	1.331	1.479	5.182
F150W	1.501	0.318	0.476	1.331	1.668	2.299
F162M	1.626	0.168	0.469	1.542	1.713	4.774
F164N	1.644	0.020	0.385	1.635	1.653	47.637
F150W2	1.671	1.227	0.489	1.007	2.38	0.638
F182M	1.845	0.238	0.505	1.722	1.968	3.604
F187N	1.874	0.024	0.434	1.863	1.885	42.924
F200W	1.990	0.461	0.525	1.755	2.227	1.946
F210M	2.093	0.205	0.522	1.992	2.201	4.554
F212N	2.120	0.027	0.420	2.109	2.134	40.871
