phon_pingyam,phon_ipa
  , 
˧ ˥,˧˥
˨ ˩,˧˩̰
˩ ˧,˩˧
˧ ˥,˧˥
˨ ˩,˧˩̰
˩ ˧,˩˧
a ː i,aːĭ
u ː i,uːĭ
ɔ ː i,ɔːĭ
a ː u,aːŭ
i ː u,iːŭ
o u,ou
ɐ i,ɐi
ɐ u,ɐu
ɵ y,ɵy
e i,ei
i ː,i
a ː,a̞
ɛ ː,ɛ
ɔ ː,ɔ̽
u ː,u
y ː,y
œ ː,œ̞
t s ʰ,tsʰ
t s,ts
t ʰ,tʰ
k ʰ,kʰ
p ʰ,pʰ
m ̩ ː,m̩
ɪ,ɪ̞
ʊ,ʊ̟
 ̩,̩
