S_ArtME.Artikel;S_ArtME.MengenEinheit;S_ArtME.VME_Faktor;S_ArtME.Groesse;S_ArtME.Gewicht;S_ArtME.Vorschrift;S_ArtME.Fuellmenge;S_ArtME.HauptVME
;0;1;;0;;0;no
Column;Column Name;Description / Remark;Location in Proalpha;Data Type;Format
1;Teil;Part;S_ArtME.Artikel;CHARACTER;x(20);
2;VerpackungsME;Sales Unit of Measure;S_ArtME.MengenEinheit;INTEGER;zz9;
3;Faktor LME-VME;Conversion Factor StU-SU;S_ArtME.VME_Faktor;DECIMAL;zzz,zz9.999;
4;Größe;Size;S_ArtME.Groesse;CHARACTER;x(6);
5;Gewicht;Weight;S_ArtME.Gewicht;DECIMAL;zzz,zz9.9999;
6;VerpVorschrift;Packaging Instruction;S_ArtME.Vorschrift;CHARACTER;x(20);
7;Füllmenge;Fill Quantity;S_ArtME.Fuellmenge;DECIMAL;zzz,zzz,zz9.999;
8;Haupt-VME;MainSaUM;S_ArtME.HauptVME;LOGICAL;ja/nein;
