phon_phonemizer,phon_ipa
ɛɹ,ɛ ɹ
ʊɹ,ʊ ɹ
əl,ə l
oːɹ,oː ɹ
ɪɹ,ɪ ɹ
ɑːɹ,ɑː ɹ
ɔːɹ,ɔː ɹ
aɪɚ,aɪ ɚ
aɪə,aɪ ə
aɪʊɹ,aɪ ʊ ɹ
aɪʊ,aɪ ʊ
dʒ,d̠ʒ
tʃ,t̠ʃ
iːː,iː
ɐɐ,ɐ
  , 
