phon_phonemizer,phon_ipa
t̠ʃ,t̪
t ,t̪ 
d ,d̪ 
n,n̪
s,s̪
x,ɣ
ɹ,r
ɾ ə,ɾ
aː,a
 æ , ɐ 
 ʊ , u 
ʊ ,ʊ̯ 
ɪ ,ɪ̯ 
ɐ̃ʊ̃,ɐ̃ʊ̯̃
y,i
o ŋ,õ
ei ŋ,ẽɪ̯̃
i ŋ,ĩ
ɐ̃ ŋ,ɐ̃
ɐ̃ m,ɐ̃
u ŋ,ũ
ũ ŋ,ũ
eɪ̯ ŋ,ẽɪ̯̃
j w,iʊ̯
j,i
 o w, oʊ̯
w i ,ũɪ̯̃ 
s̪ w,s̪ u
d̪ w,d̪ u
ɡ w,ɡ u
