phon_phonemizer,phon_ipa
ææ,æ
ᵻ,ɪ
n̩,ə n
ɚ,ə ɹ
oː,ɔ
ɔː,ɔ
ɾ,t
ɐ,ʌ
ɑː,ɑ
ʔ,t
ɬ,l
nʲ,n
ɑ̃,ɑ
r,ɹ
