phon_phonemizer,phon_ipa
t ,t̪ 
 s̻, s̪̻
ts̺,t̺s̺
ts̻,t̪̻s̪̻
d,d̪
aɪ,ai̯
aʊ,au̯
eɪ,ei̯
oɪ,oi̯
eʊ,eu̯
