phon_phonemizer,phon_ipa
ɾ r,ɾ
r,ɾ
h,ɦ
ɛɪ,ɛi
yʊ,ʏ ʋ
ʌʊ,ʌu
eʊ,eː u
ɵ,ʏ
ɪː,eː
e,ɛ
ð,d
a,ã
